"","X.https...finance.yahoo.com.quote.YI.","X.http...www.111.com.cn."
"29","https://finance.yahoo.com/quote/ACAM",""
"30","https://finance.yahoo.com/quote/ACAMU",""
"31","https://finance.yahoo.com/quote/ACAMW",""
"45","https://finance.yahoo.com/quote/ACTT",""
"46","https://finance.yahoo.com/quote/ACTTU",""
"47","https://finance.yahoo.com/quote/ACTTW",""
"48","https://finance.yahoo.com/quote/ATVI",""
"56","https://finance.yahoo.com/quote/ADILW",""
"67","https://finance.yahoo.com/quote/DWMC",""
"68","https://finance.yahoo.com/quote/DWSH",""
"69","https://finance.yahoo.com/quote/BKCH",""
"70","https://finance.yahoo.com/quote/ACT",""
"83","https://finance.yahoo.com/quote/AGBAU",""
"94","https://finance.yahoo.com/quote/AGFSW",""
"111","https://finance.yahoo.com/quote/ALAC",""
"112","https://finance.yahoo.com/quote/ALACR",""
"113","https://finance.yahoo.com/quote/ALACU",""
"114","https://finance.yahoo.com/quote/ALACW",""
"130","https://finance.yahoo.com/quote/ALGR",""
"131","https://finance.yahoo.com/quote/ALGRR",""
"132","https://finance.yahoo.com/quote/ALGRU",""
"133","https://finance.yahoo.com/quote/ALGRW",""
"146","https://finance.yahoo.com/quote/SMCP",""
"150","https://finance.yahoo.com/quote/AMRWW",""
"169","https://finance.yahoo.com/quote/AMCIW",""
"174","https://finance.yahoo.com/quote/AMRHW",""
"194","https://finance.yahoo.com/quote/ASRVP",""
"200","https://finance.yahoo.com/quote/IBUY",""
"207","https://finance.yahoo.com/quote/ANDA",""
"208","https://finance.yahoo.com/quote/ANDAR",""
"209","https://finance.yahoo.com/quote/ANDAU",""
"210","https://finance.yahoo.com/quote/ANDAW",""
"228","https://finance.yahoo.com/quote/APDNW",""
"235","https://finance.yahoo.com/quote/APTX",""
"265","https://finance.yahoo.com/quote/DWCR",""
"266","https://finance.yahoo.com/quote/DWAT",""
"272","https://finance.yahoo.com/quote/ARYA",""
"273","https://finance.yahoo.com/quote/ARYAU",""
"274","https://finance.yahoo.com/quote/ARYAW",""
"286","https://finance.yahoo.com/quote/ASTE",""
"299","https://finance.yahoo.com/quote/AUB",""
"312","https://finance.yahoo.com/quote/ATISW",""
"351","https://finance.yahoo.com/quote/RILYG",""
"352","https://finance.yahoo.com/quote/RILYH",""
"353","https://finance.yahoo.com/quote/RILYI",""
"354","https://finance.yahoo.com/quote/RILYL",""
"355","https://finance.yahoo.com/quote/RILYO",""
"356","https://finance.yahoo.com/quote/RILYZ",""
"362","https://finance.yahoo.com/quote/BANFP",""
"368","https://finance.yahoo.com/quote/BMLP",""
"377","https://finance.yahoo.com/quote/DFVL",""
"378","https://finance.yahoo.com/quote/DFVS",""
"379","https://finance.yahoo.com/quote/DLBS",""
"380","https://finance.yahoo.com/quote/DTUL",""
"381","https://finance.yahoo.com/quote/DTUS",""
"382","https://finance.yahoo.com/quote/DTYL",""
"383","https://finance.yahoo.com/quote/DTYS",""
"384","https://finance.yahoo.com/quote/FLAT",""
"385","https://finance.yahoo.com/quote/STPP",""
"386","https://finance.yahoo.com/quote/TAPR",""
"390","https://finance.yahoo.com/quote/ZTEST",""
"410","https://finance.yahoo.com/quote/BRPAR",""
"412","https://finance.yahoo.com/quote/BRPAW",""
"428","https://finance.yahoo.com/quote/BNGOW",""
"430","https://finance.yahoo.com/quote/BVXVW",""
"441","https://finance.yahoo.com/quote/BRACR",""
"443","https://finance.yahoo.com/quote/BRACW",""
"449","https://finance.yahoo.com/quote/BLNKW",""
"457","https://finance.yahoo.com/quote/ITEQ",""
"471","https://finance.yahoo.com/quote/BWMCW",""
"474","https://finance.yahoo.com/quote/BVNSC",""
"475","https://finance.yahoo.com/quote/BEER",""
"482","https://finance.yahoo.com/quote/BHFAL",""
"507","https://finance.yahoo.com/quote/CLBS",""
"519","https://finance.yahoo.com/quote/CRUSC",""
"531","https://finance.yahoo.com/quote/CSWCL",""
"533","https://finance.yahoo.com/quote/CPTAG",""
"534","https://finance.yahoo.com/quote/CPTAL",""
"571","https://finance.yahoo.com/quote/CBOE",""
"577","https://finance.yahoo.com/quote/CELG",""
"578","https://finance.yahoo.com/quote/CELGZ",""
"581","https://finance.yahoo.com/quote/APOPW",""
"583","https://finance.yahoo.com/quote/CLRBW",""
"584","https://finance.yahoo.com/quote/CLRBZ",""
"592","https://finance.yahoo.com/quote/CETXW",""
"606","https://finance.yahoo.com/quote/CERN",""
"610","https://finance.yahoo.com/quote/CFFA",""
"611","https://finance.yahoo.com/quote/CFFAU",""
"612","https://finance.yahoo.com/quote/CFFAW",""
"619","https://finance.yahoo.com/quote/CTAC",""
"620","https://finance.yahoo.com/quote/CTACU",""
"621","https://finance.yahoo.com/quote/CTACW",""
"624","https://finance.yahoo.com/quote/CHEKW",""
"625","https://finance.yahoo.com/quote/CHEKZ",""
"638","https://finance.yahoo.com/quote/CADC",""
"645","https://finance.yahoo.com/quote/HGSH",""
"676","https://finance.yahoo.com/quote/CTXRW",""
"687","https://finance.yahoo.com/quote/CACG",""
"688","https://finance.yahoo.com/quote/YLDE",""
"689","https://finance.yahoo.com/quote/LRGE",""
"698","https://finance.yahoo.com/quote/CMFNL",""
"749","https://finance.yahoo.com/quote/CNFRL",""
"755","https://finance.yahoo.com/quote/CWCO",""
"757","https://finance.yahoo.com/quote/CNACR",""
"759","https://finance.yahoo.com/quote/CNACW",""
"769","https://finance.yahoo.com/quote/CORT",""
"785","https://finance.yahoo.com/quote/COWNL",""
"786","https://finance.yahoo.com/quote/COWNZ",""
"794","https://finance.yahoo.com/quote/CREXW",""
"796","https://finance.yahoo.com/quote/DGLD",""
"797","https://finance.yahoo.com/quote/DSLV",""
"798","https://finance.yahoo.com/quote/GLDI",""
"799","https://finance.yahoo.com/quote/SLVO",""
"800","https://finance.yahoo.com/quote/TVIX",""
"801","https://finance.yahoo.com/quote/UGLD",""
"802","https://finance.yahoo.com/quote/USLV",""
"803","https://finance.yahoo.com/quote/USOI",""
"804","https://finance.yahoo.com/quote/VIIX",""
"805","https://finance.yahoo.com/quote/ZIV",""
"809","https://finance.yahoo.com/quote/CRSAW",""
"819","https://finance.yahoo.com/quote/CYRXW",""
