"","ticker","finance_site","website","description","keywords"
"1","TECD","https://finance.yahoo.com/quote/TECD","http://www.techdata.com","Global distributor of technology products, services and solutions. (Nasdaq: TECD).","IT Distribution, IT, Distribution, Reseller, Vendor, Computer Distribution, Computer Distributor, Distributor, Tech, Data, Tech Data, TechData, Cloud, Sales, Manufacturer, Warehouse, logistics, integration, services, Florida Careers, Clearwater Careers, Tampa, Tampa Careers, Clearwater, Saint Petersburg, St. Pete, StreamOne, Stream One, Mobile, TD, TDMobility"
"2","TCCO","https://finance.yahoo.com/quote/TCCO","http://www.tccsecure.com",NA,NA
"3","TTGT","https://finance.yahoo.com/quote/TTGT","http://www.techtarget.com",NA,NA
"4","TGLS","https://finance.yahoo.com/quote/TGLS","http://www.tecnoglass.com","Somos líderes internacionales en la transformación y comercialización del vidrio, con alta tecnología, calidad y servicio que satisface las necesidades de nuestros clientes en calidad y servicio.","Vidrio Templado, Tempered Glass, Aluminium, Aluminio, Puertas, Doors, , Ventanas, Fachadas, Storefront, Curtain Wall, Cristian Daes, Christian Daes, Cristian Daez, Christian Daez, Quality, Power, New "
"5","TGEN","https://finance.yahoo.com/quote/TGEN","http://www.tecogen.com",NA,NA
"6","TNAV","https://finance.yahoo.com/quote/TNAV","http://www.telenav.com",NA,NA
"7","TLGT","https://finance.yahoo.com/quote/TLGT","http://www.teligent.com",NA,NA
"8","TELL","https://finance.yahoo.com/quote/TELL","http://www.tellurianinc.com","Tellurian has delivered cost leading LNG projects over more than 50 years. We focus on establishing a new global standard for sourcing low-cost natural gas.",NA
"9","TENB","https://finance.yahoo.com/quote/TENB","http://www.tenable.com","Welcome to the modern era of cyber exposure. Join the movement.",NA
"10","TENX","https://finance.yahoo.com/quote/TENX","http://www.tenaxthera.com",NA,NA
"11","TER","https://finance.yahoo.com/quote/TER","http://www.teradyne.com","Teradyne (NYSE:TER) is a leading supplier of automation equipment for test and industrial applications. Teradyne Automatic Test Equipment (ATE) is used to test semiconductors, wireless products, data storage and complex electronic systems, which serve consumer, communications, industrial and government customers.",NA
"12","TERP","https://finance.yahoo.com/quote/TERP","http://www.terraformpower.com",NA,NA
"13","TBNK","https://finance.yahoo.com/quote/TBNK","http://www.territorialsavings.net","Territorial Savings Bank: Serving Hawaii&#039;s financial service needs since 1921. Offering savings, checking, loan services.",NA
"14","TSLA","https://finance.yahoo.com/quote/TSLA","http://www.tesla.com","Tesla is accelerating the world&#39;s transition to sustainable energy with electric cars, solar panels and integrated renewable energy solutions for homes and businesses.","Tesla, Electric vehicles, EV, Electric cars, Elon Musk, Tesla news , Sustainable energy, Autopilot, Supercharger , Model S, Model X, Model 3"
"15","TESS","https://finance.yahoo.com/quote/TESS","http://www.tessco.com",NA,NA
"16","TTEK","https://finance.yahoo.com/quote/TTEK","http://www.tetratech.com","Tetra Tech is a leading provider of consulting, engineering, program management, construction management and technical services worldwide.",""
"17","TTEK","https://finance.yahoo.com/quote/TTEK","http://www.tetratech.com","Tetra Tech is a leading provider of consulting, engineering, program management, construction management and technical services worldwide.",""
"18","TTPH","https://finance.yahoo.com/quote/TTPH","http://www.tphase.com","Explore how Tetraphase is developing novel antibiotics accessible to all at-risk patients in need.","treating antibiotic-resistant bacteria, MDR, developing new MDR bacteria antibiotics, developing new antibiotics, Tetraphase antibiotic pipeline 2018"
"19","TCBI","https://finance.yahoo.com/quote/TCBI","http://www.texascapitalbank.com","Visit our Texas Capital Bank official site to find out how we can help you with your commercial banking and wealth management needs.",NA
"20","TCBIL","https://finance.yahoo.com/quote/TCBIL","http://www.texascapitalbank.com","Visit our Texas Capital Bank official site to find out how we can help you with your commercial banking and wealth management needs.",NA
"21","TCBIP","https://finance.yahoo.com/quote/TCBIP","http://www.texascapitalbank.com","Visit our Texas Capital Bank official site to find out how we can help you with your commercial banking and wealth management needs.",NA
"22","TXN","https://finance.yahoo.com/quote/TXN","http://www.ti.com","TI is a global semiconductor design &amp; manufacturing company. Innovate with 80,000+ analog ICs &amp; embedded processors, software &amp; largest sales/support staff.",NA
"23","TXRH","https://finance.yahoo.com/quote/TXRH","http://www.texasroadhouse.com","Sitefinity 8.2.5900.0 SE","Sitefinity 8.2.5900.0 SE"
"24","TFSL","https://finance.yahoo.com/quote/TFSL","http://www.thirdfederal.com","We offer guaranteed low-rate mortgages, home equity lines of credit, savings accounts &amp; more! Use our calculators, review rates &amp; apply for a loan today!",NA
"25","TGTX","https://finance.yahoo.com/quote/TGTX","http://www.tgtherapeutics.com","Focused on the development of agents for the treatment of various hematologic malignancies and autoimmune disorders.","biopharmaceutical company, antibodies, cancer research, leukemia, autoimmune "
"26","WTER","https://finance.yahoo.com/quote/WTER","http://www.thealkalinewaterco.com","&quot;Say, &quot;&quot;Hello, hydration!&quot;&quot; with Alkaline88, the best alkaline water. Learn more about this chemical-free, pH balanced water &amp; where to find Alkaline88 near you.&quot;",NA
"27","ANDE","https://finance.yahoo.com/quote/ANDE","http://www.andersonsinc.com","",NA
"28","TBBK","https://finance.yahoo.com/quote/TBBK","http://www.thebancorp.com","Explore our innovative private-label banking and technology solutions for non-bank companies.&#160;","The Bancorp, Bancorp, TBBK, The Bancorp Bank, Transact Payments Limited, private label bank, commercial bank, fintech, financial services, financial technology, Frank Mastrangelo, Betsy Cohen, Daniel G. Cohen"
"29","BPRN","https://finance.yahoo.com/quote/BPRN","http://www.thebankofprinceton.com","",NA
"30","CG","https://finance.yahoo.com/quote/CG","http://www.carlyle.com","Founded in 1987 in Washington, DC, The Carlyle Group is one of the world&#039;s largest and most successful investment firms with $212 billion of assets.",NA
"31","CAKE","https://finance.yahoo.com/quote/CAKE","http://www.thecheesecakefactory.com","With more than 250 menu items and more than 50 signature cheesecakes and desserts, there is truly &amp;#8220;Something for everyone&amp;#8221; at The Cheesecake Factory.","the cheesecake factory, cheese cake factory, cheese cake, cheesecake factory, cheesecake, the cheese cake factory, cheese cake factory "
"32","CHEF","https://finance.yahoo.com/quote/CHEF","http://www.chefswarehouse.com","Gourmet foods and restaurant supply. Large selection of specialty foods from  around the world.","foods"
"33","TCFC","https://finance.yahoo.com/quote/TCFC","http://www.cbtc.com",NA,NA
"34","DSGX","https://finance.yahoo.com/quote/DSGX","http://www.descartes.com","Descartes Systems Group is a global leader in providing on-demand, software-as-a-service solutions for logistics-intensive businesses.","Global Logistics and Supply Chain Software Solutions, Logistics Software Provider, Supply Chain Software Provider"
"35","DXYN","https://finance.yahoo.com/quote/DXYN","http://www.thedixiegroup.com",NA,NA
"36","ENSG","https://finance.yahoo.com/quote/ENSG","http://www.ensigngroup.net",NA,NA
"37","XONE","https://finance.yahoo.com/quote/XONE","http://www.exone.com",NA,NA
"38","FBMS","https://finance.yahoo.com/quote/FBMS","http://www.thefirstbank.com","IE=edge,chrome=1","IE=edge,chrome=1"
"39","FLIC","https://finance.yahoo.com/quote/FLIC","http://www.fnbli.com","The First National Bank of Long Island, Where Everyone Knows Your Name, offers personal and business banking solutions in Long Island and Manhattan","First National Bank, Long Island, Manhattan, New York"
"40","GT","https://finance.yahoo.com/quote/GT","http://www.goodyear.com","Did you know that you can now buy Goodyear tires online for your vehicle? See how easy it is and buy your new tires online today at Goodyear.com. ",NA
"41","HABT","https://finance.yahoo.com/quote/HABT","http://www.habitburger.com",NA,NA
"42","HCKT","https://finance.yahoo.com/quote/HCKT","http://www.thehackettgroup.com","The Hackett Group: The business improvement leader for digital transformation, enterprise analytics and enterprise applications with unparalleled benchmarking and best practices implementation capabilities","process improvement,shared services,cost reduction,strategy consulting,working capital management,business performance management,business advisory,business transformation,finance consulting,business benchmarking"
"43","HAIN","https://finance.yahoo.com/quote/HAIN","http://www.hain.com",NA,NA
