"","X.https...finance.yahoo.com.quote.CAI.","X.http...www.capps.com."
"1","https://finance.yahoo.com/quote/CAI","http://www.capps.com"
"4","https://finance.yahoo.com/quote/CAL","http://www.caleres.com"
"5","https://finance.yahoo.com/quote/CRC","http://www.crc.com"
"6","https://finance.yahoo.com/quote/CWT","http://www.calwatergroup.com"
"7","https://finance.yahoo.com/quote/CALX","http://www.calix.com"
"8","https://finance.yahoo.com/quote/ELY","http://www.callawaygolf.com"
"9","https://finance.yahoo.com/quote/CPE","http://www.callon.com"
"11","https://finance.yahoo.com/quote/CBM","http://www.cambrex.com"
"12","https://finance.yahoo.com/quote/CPT","http://www.camdenliving.com"
"13","https://finance.yahoo.com/quote/CCJ","http://www.cameco.com"
"14","https://finance.yahoo.com/quote/CPB","http://www.campbellsoupcompany.com"
"15","https://finance.yahoo.com/quote/CWH","http://www.campingworld.com"
"16","https://finance.yahoo.com/quote/GOOS","http://www.canadagoose.com"
"17","https://finance.yahoo.com/quote/CM","http://www.cibc.com"
"18","https://finance.yahoo.com/quote/CNI","http://www.cn.ca"
"19","https://finance.yahoo.com/quote/CNQ","http://www.cnrl.com"
"20","https://finance.yahoo.com/quote/CP","http://www.cpr.ca"
"21","https://finance.yahoo.com/quote/CANG","http://www.cangoonline.com"
"22","https://finance.yahoo.com/quote/CNNE","http://www.cannaeholdings.com"
"23","https://finance.yahoo.com/quote/CTST","http://www.canntrust.ca"
"24","https://finance.yahoo.com/quote/CAJ","http://global.canon"
"25","https://finance.yahoo.com/quote/CGC","http://www.canopygrowth.com"
"26","https://finance.yahoo.com/quote/CMD","http://www.cantelmedical.com"
"27","https://finance.yahoo.com/quote/COF","http://www.capitalone.com"
"34","https://finance.yahoo.com/quote/CSU","http://www.capitalsenior.com"
"35","https://finance.yahoo.com/quote/BXMT","http://www.blackstonemortgagetrust.com"
"36","https://finance.yahoo.com/quote/CIC","http://capinvestment.com"
"39","https://finance.yahoo.com/quote/CPRI","http://www.capriholdings.com"
"40","https://finance.yahoo.com/quote/CMO","http://www.capstead.com"
"42","https://finance.yahoo.com/quote/CRR","http://www.carboceramics.com"
"43","https://finance.yahoo.com/quote/CAH","http://www.cardinalhealth.com"
"44","https://finance.yahoo.com/quote/CRCM","http://www.care.com"
"45","https://finance.yahoo.com/quote/CSL","http://www.carlisle.com"
"46","https://finance.yahoo.com/quote/KMX","http://www.carmax.com"
"47","https://finance.yahoo.com/quote/CCL","http://www.carnivalcorp.com"
"48","https://finance.yahoo.com/quote/CUK","http://www.carnivalplc.com"
"49","https://finance.yahoo.com/quote/CRS","http://www.cartech.com"
"50","https://finance.yahoo.com/quote/CSV","http://www.carriageservices.com"
"51","https://finance.yahoo.com/quote/CARS","http://www.cars.com"
"52","https://finance.yahoo.com/quote/CRI","http://www.carters.com"
"53","https://finance.yahoo.com/quote/CVNA","http://www.carvana.com"
"54","https://finance.yahoo.com/quote/CSLT","http://www.castlighthealth.com"
"55","https://finance.yahoo.com/quote/CTLT","http://www.catalent.com"
"56","https://finance.yahoo.com/quote/CTT           ","http://www.catchmark.com"
"57","https://finance.yahoo.com/quote/CAT","http://www.caterpillar.com"
"58","https://finance.yahoo.com/quote/CATO","http://www.catofashions.com"
"59","https://finance.yahoo.com/quote/CBZ","http://www.cbiz.com"
"60","https://finance.yahoo.com/quote/CBL","http://www.cblproperties.com"
"64","https://finance.yahoo.com/quote/IGR","http://www.cbreclarion.com"
"65","https://finance.yahoo.com/quote/CBRE","http://www.cbre.com"
"66","https://finance.yahoo.com/quote/CBS","http://www.cbscorporation.com"
"69","https://finance.yahoo.com/quote/FUN","http://www.cedarfair.com"
"70","https://finance.yahoo.com/quote/CDR","http://www.cedarrealtytrust.com"
"73","https://finance.yahoo.com/quote/CE","http://www.celanese.com"
"74","https://finance.yahoo.com/quote/CLS","http://www.celestica.com"
"75","https://finance.yahoo.com/quote/CEL","http://www.cellcom.co.il"
"76","https://finance.yahoo.com/quote/CPAC","http://www.cementospacasmayo.com.pe"
"77","https://finance.yahoo.com/quote/CX","http://www.cemex.com"
"78","https://finance.yahoo.com/quote/CVE","http://www.cenovus.com"
"79","https://finance.yahoo.com/quote/CNC","http://www.centene.com"
"80","https://finance.yahoo.com/quote/CEN","http://www.centercoastcap.com"
"81","https://finance.yahoo.com/quote/CNP","http://www.centerpointenergy.com"
"83","https://finance.yahoo.com/quote/EBR","http://www.eletrobras.com"
