"","X.https...finance.yahoo.com.quote.JPM.C.","X.."
"7","https://finance.yahoo.com/quote/JAX","http://www.jalexandersholdings.com"
"8","https://finance.yahoo.com/quote/JILL","http://www.jjill.com"
"9","https://finance.yahoo.com/quote/JCP","http://www.jcpenney.com"
"10","https://finance.yahoo.com/quote/SJM","http://www.jmsmucker.com"
"11","https://finance.yahoo.com/quote/JBL","http://www.jabil.com"
"12","https://finance.yahoo.com/quote/JEC","http://www.jacobs.com"
"13","https://finance.yahoo.com/quote/JAG","http://www.jaggedpeakenergy.com"
"14","https://finance.yahoo.com/quote/JHX","http://www.jameshardie.com"
"15","https://finance.yahoo.com/quote/JHG","http://www.janushenderson.com"
"16","https://finance.yahoo.com/quote/JOF","http://funds.nomura-asset.com"
"17","https://finance.yahoo.com/quote/JBGS","http://www.jbgsmith.com"
"18","https://finance.yahoo.com/quote/JEF","http://www.jefferies.com"
"19","https://finance.yahoo.com/quote/JELD","http://www.jeld-wen.com"
"20","https://finance.yahoo.com/quote/JCAP","http://www.jernigancapital.com"
"22","https://finance.yahoo.com/quote/JT","http://www.jianpu.ai"
"23","https://finance.yahoo.com/quote/JKS","http://www.jinkosolar.com"
"24","https://finance.yahoo.com/quote/JMP","http://www.jmpg.com"
"27","https://finance.yahoo.com/quote/JBT","http://www.jbtc.com"
"28","https://finance.yahoo.com/quote/BTO","http://www.jhfunds.com"
"29","https://finance.yahoo.com/quote/HEQ","http://www.jhinvestments.com"
"30","https://finance.yahoo.com/quote/JHS","http://www.jhinvestments.com"
"31","https://finance.yahoo.com/quote/JHI","http://www.jhinvestments.com"
"32","https://finance.yahoo.com/quote/HPF","http://www.jhinvestments.com"
"33","https://finance.yahoo.com/quote/HPI","http://www.jhinvestments.com"
"34","https://finance.yahoo.com/quote/HPS","http://www.jhinvestments.com"
"35","https://finance.yahoo.com/quote/PDT","http://www.jhinvestments.com"
"36","https://finance.yahoo.com/quote/HTD","http://www.jhinvestments.com"
"37","https://finance.yahoo.com/quote/HTY","http://www.jhinvestments.com"
"40","https://finance.yahoo.com/quote/JNJ","http://www.jnj.com"
"41","https://finance.yahoo.com/quote/JCI","http://www.johnsoncontrols.com"
"42","https://finance.yahoo.com/quote/JLL","http://www.us.jll.com"
"43","https://finance.yahoo.com/quote/JMEI","http://bj.jumei.com"
"44","https://finance.yahoo.com/quote/JMIA","http://group.jumia.com"
"45","https://finance.yahoo.com/quote/JNPR","http://www.juniper.net"
"46","https://finance.yahoo.com/quote/JP","http://www.jpinvestment.cn"
"47","https://finance.yahoo.com/quote/JE","http://investors.justenergy.com"
"49","https://finance.yahoo.com/quote/LRN","http://www.k12.com"
"50","https://finance.yahoo.com/quote/KAI","http://www.kadant.com"
"51","https://finance.yahoo.com/quote/KDMN","http://www.kadmon.com"
"52","https://finance.yahoo.com/quote/KAMN","http://www.kaman.com"
"53","https://finance.yahoo.com/quote/KSU","http://www.kcsouthern.com"
"55","https://finance.yahoo.com/quote/KAR","http://www.karauctionservices.com"
"56","https://finance.yahoo.com/quote/KMF","http://www.kaynefunds.com"
"57","https://finance.yahoo.com/quote/KYN","http://www.kaynefunds.com"
"59","https://finance.yahoo.com/quote/KB","http://www.kbfg.com"
"60","https://finance.yahoo.com/quote/KBH","http://www.kbhome.com"
"61","https://finance.yahoo.com/quote/KBR","http://www.kbr.com"
"62","https://finance.yahoo.com/quote/FRAC","http://www.keanegrp.com"
"63","https://finance.yahoo.com/quote/K","http://www.kelloggcompany.com"
"64","https://finance.yahoo.com/quote/KEM","http://www.kemet.com"
"66","https://finance.yahoo.com/quote/KMPR","http://www.kemper.com"
"67","https://finance.yahoo.com/quote/KMT","http://www.kennametal.com"
"68","https://finance.yahoo.com/quote/KW","http://www.kennedywilson.com"
"69","https://finance.yahoo.com/quote/KEN","http://www.kenon-holdings.com"
"70","https://finance.yahoo.com/quote/KDP","http://www.keurigdrpepper.com"
"71","https://finance.yahoo.com/quote/KEG","http://www.keyenergy.com"
"72","https://finance.yahoo.com/quote/KEY","http://www.key.com"
"76","https://finance.yahoo.com/quote/KEYS","http://www.keysight.com"
"77","https://finance.yahoo.com/quote/KRC","http://www.kilroyrealty.com"
"78","https://finance.yahoo.com/quote/KRP","http://www.kimbellrp.com"
"79","https://finance.yahoo.com/quote/KMB","http://www.kimberly-clark.com"
"80","https://finance.yahoo.com/quote/KIM","http://www.kimcorealty.com"
"86","https://finance.yahoo.com/quote/KMI","http://www.kindermorgan.com"
"87","https://finance.yahoo.com/quote/KFS","http://www.kingsway-financial.com"
"88","https://finance.yahoo.com/quote/KGC","http://www.kinross.com"
"89","https://finance.yahoo.com/quote/KEX","http://www.kirbycorp.com"
"90","https://finance.yahoo.com/quote/KL","http://www.klgold.com"
"91","https://finance.yahoo.com/quote/KRG","http://www.kiterealty.com"
"92","https://finance.yahoo.com/quote/KKR","http://www.kkr.com"
"96","https://finance.yahoo.com/quote/KREF","http://www.kkrreit.com"
"97","https://finance.yahoo.com/quote/KNX","http://knight-swift.com"
"98","https://finance.yahoo.com/quote/KNL","http://www.knoll.com"
"99","https://finance.yahoo.com/quote/KNOP","http://www.knotoffshorepartners.com"
"100","https://finance.yahoo.com/quote/KN","http://www.knowles.com"
"101","https://finance.yahoo.com/quote/KSS","http://www.Kohls.com"
"102","https://finance.yahoo.com/quote/PHG","http://www.philips.com"
"104","https://finance.yahoo.com/quote/KOP","http://www.koppers.com"
"105","https://finance.yahoo.com/quote/KEP","http://home.kepco.co.kr"
"106","https://finance.yahoo.com/quote/KF","http://www.thekoreafund.com"
"107","https://finance.yahoo.com/quote/KFY","http://www.kornferry.com"
"108","https://finance.yahoo.com/quote/KOS","http://www.kosmosenergy.com"
"109","https://finance.yahoo.com/quote/KRA","http://www.kraton.com"
"110","https://finance.yahoo.com/quote/KR","http://www.thekrogerco.com"
"111","https://finance.yahoo.com/quote/KRO","http://kronostio2.com"
"112","https://finance.yahoo.com/quote/KT","http://www.kt.com"
"113","https://finance.yahoo.com/quote/LB","http://www.lb.com"
"114","https://finance.yahoo.com/quote/SCX","http://www.starrett.com"
"115","https://finance.yahoo.com/quote/LLL","http://www.l3t.com"
"116","https://finance.yahoo.com/quote/LH","http://www.labcorp.com"
"117","https://finance.yahoo.com/quote/LADR","http://www.laddercapital.com"
"118","https://finance.yahoo.com/quote/LAIX","http://ir.laix.com"
"119","https://finance.yahoo.com/quote/LW","http://www.lambweston.com"
"120","https://finance.yahoo.com/quote/LCI","http://www.lannett.com"
"121","https://finance.yahoo.com/quote/LPI","http://www.laredopetro.com"
"122","https://finance.yahoo.com/quote/LVS","http://www.sands.com"
"123","https://finance.yahoo.com/quote/LTM","http://www.latamairlinesgroup.net"
"124","https://finance.yahoo.com/quote/LGI","http://www.lazardnet.com"
"125","https://finance.yahoo.com/quote/LAZ","http://www.lazard.com"
"126","https://finance.yahoo.com/quote/LOR","http://www.lazardnet.com"
"127","https://finance.yahoo.com/quote/LZB","http://www.la-z-boy.com"
"128","https://finance.yahoo.com/quote/LCII","http://www.lci1.com"
"129","https://finance.yahoo.com/quote/LEAF","http://www.leafgroup.com"
"130","https://finance.yahoo.com/quote/LEA","http://www.lear.com"
"131","https://finance.yahoo.com/quote/LEE","http://www.lee.net"
