"","X.https...finance.yahoo.com.quote.SJW.","X.http...www.sjwgroup.com."
"1","https://finance.yahoo.com/quote/SJW","http://www.sjwgroup.com"
"2","https://finance.yahoo.com/quote/SKM","http://www.sktelecom.com"
"3","https://finance.yahoo.com/quote/SKX","http://www.skechers.com"
"4","https://finance.yahoo.com/quote/SKY","http://ir.skylinechampion.com"
"5","https://finance.yahoo.com/quote/SLG","http://www.slgreen.com"
"7","https://finance.yahoo.com/quote/SM","http://www.sm-energy.com"
"8","https://finance.yahoo.com/quote/SFS","http://www.smartandfinal.com"
"9","https://finance.yahoo.com/quote/SMAR","http://www.smartsheet.com"
"10","https://finance.yahoo.com/quote/SNN","http://www.smith-nephew.com"
"11","https://finance.yahoo.com/quote/SNAP","http://www.snap.com"
"12","https://finance.yahoo.com/quote/SNA","http://www.snapon.com"
"13","https://finance.yahoo.com/quote/IPOA","http://www.socialcapitalhedosophiaholdings.com"
"16","https://finance.yahoo.com/quote/SQM","http://www.sqm.com"
"17","https://finance.yahoo.com/quote/SOGO","http://www.sogou.com"
"18","https://finance.yahoo.com/quote/SOI","http://www.solarisoilfield.com"
"19","https://finance.yahoo.com/quote/SWI","http://www.solarwinds.com"
"20","https://finance.yahoo.com/quote/SAH","http://www.sonicautomotive.com"
"21","https://finance.yahoo.com/quote/SON","http://www.sonoco.com"
"22","https://finance.yahoo.com/quote/SNE","http://www.sony.net"
"23","https://finance.yahoo.com/quote/BID","http://www.sothebys.com"
"24","https://finance.yahoo.com/quote/SOR","http://www.fpafunds.com"
"25","https://finance.yahoo.com/quote/SJI","http://www.sjindustries.com"
"32","https://finance.yahoo.com/quote/SO","http://www.southerncompany.com"
"36","https://finance.yahoo.com/quote/SCCO","http://www.southerncoppercorp.com"
"37","https://finance.yahoo.com/quote/LUV","http://www.southwest.com"
"38","https://finance.yahoo.com/quote/SWX","http://www.swgasholdings.com"
"39","https://finance.yahoo.com/quote/SWN","http://www.swn.com"
"40","https://finance.yahoo.com/quote/SPAQ","http://www.spartanenergyspac.com"
"43","https://finance.yahoo.com/quote/SPE","http://www.specialopportunitiesfundinc.com"
"45","https://finance.yahoo.com/quote/SPB           ","http://www.spectrumbrands.com"
"46","https://finance.yahoo.com/quote/TRK","http://www.speedwaymotorsports.com"
"47","https://finance.yahoo.com/quote/SR","http://www.spireenergy.com"
"48","https://finance.yahoo.com/quote/SPR","http://www.spiritaero.com"
"49","https://finance.yahoo.com/quote/SAVE","http://www.spirit.com"
"50","https://finance.yahoo.com/quote/SMTA","http://www.spiritmastertrust.com"
"51","https://finance.yahoo.com/quote/SRC","http://www.spiritrealty.com"
"53","https://finance.yahoo.com/quote/SPOT","http://www.spotify.com"
"54","https://finance.yahoo.com/quote/SRLP","http://www.spragueenergy.com"
"55","https://finance.yahoo.com/quote/S","http://www.sprint.com"
