Name,Source,Sector,Industry
"Nicholas Financial, Inc.",2018,10,93
"Henry Schein, Inc.",2018,1,8
Core Laboratories N.V.,2018,2,19
Optical Cable Corporation,2018,4,41
"Impac Mortgage Holdings, Inc.",2018,10,81
"Schweitzer-Mauduit International, Inc.",2018,4,35
"Blonder Tongue Laboratories, Inc.",2018,3,34
"Novavax, Inc.",2018,1,4
Waters Corporation,2018,1,7
"Insperity, Inc.",2018,10,99
DISH Network Corporation,2018,10,87
Geospace Technologies Corporation,2018,2,19
Broadway Financial Corporation,2018,5,50
"Sangamo Therapeutics, Inc.",2018,1,4
"Estee Lauder Companies, Inc. (The)",2018,7,64
"Asta Funding, Inc.",2018,10,92
"Asta Funding, Inc.",2018,10,92
"TG Therapeutics, Inc.",2018,1,4
"Tengasco, Inc.",2018,10,87
Southern Copper Corporation,2018,2,30
"Intevac, Inc.",2018,4,43
Astrotech Corporation,2018,4,43
"NetApp, Inc.",2018,8,75
"Westell Technologies, Inc.",2018,4,41
"Nuance Communications, Inc.",2018,8,75
"Star Group, L.P.",2018,10,89
Open Text Corporation,2018,8,75
Ameren Corporation,2018,2,26
"MSC Industrial Direct Company, Inc.",2018,10,87
"MMA Capital Holdings, Inc.",2018,10,87
"Affiliated Managers Group, Inc.",2018,10,95
OceanFirst Financial Corp.,2018,5,50
"Regional Health Properties, Inc.",2018,9,79
"Barnwell Industries, Inc.",2018,2,24
"Tyson Foods, Inc.",2018,7,61
Pacific Gas & Electric Co.,2018,2,25
"SPAR Group, Inc.",2018,3,33
"Assertio Therapeutics, Inc.",2018,1,1
"Suburban Propane Partners, L.P.",2018,2,28
Columbus McKinnon Corporation,2018,4,36
Pangaea Logistics Solutions Ltd.,2018,4,42
Universal Display Corporation,2018,4,42
Landec Corporation,2018,1,9
"Dime Community Bancshares, Inc.",2018,5,52
IDT Corporation,2018,8,72
"CSG Systems International, Inc.",2018,10,87
Tompkins Financial Corporation,2018,5,52
"Argan, Inc.",2018,2,21
IRIDEX Corporation,2018,1,14
"Loral Space and Communications, Inc.",2018,8,72
"Protalix BioTherapeutics, Inc.",2018,1,5
"Evolution Petroleum Corporation, Inc.",2018,2,24
"HC2 Holdings, Inc.",2018,2,15
"Coffee Holding Co., Inc.",2018,7,60
Bank of South Carolina Corp.,2018,5,51
"PRGX Global, Inc.",2018,10,99
"KVH Industries, Inc.",2018,8,72
"Streamline Health Solutions, Inc.",2018,10,100
Tupperware Brands Corporation,2018,3,33
"Acorda Therapeutics, Inc.",2018,1,6
"Carbo Ceramics, Inc.",2018,2,19
Capstone Turbine Corporation,2018,4,44
"JAKKS Pacific, Inc.",2018,7,64
Air Industries Group,2018,4,43
SIGA Technologies Inc.,2018,1,1
"Provident Financial Holdings, Inc.",2018,5,50
"Sykes Enterprises, Incorporated",2018,10,99
"CynergisTek, Inc.",2018,8,75
"Knoll, Inc.",2018,4,38
"Rush Enterprises, Inc.",2018,7,62
Sealed Air Corporation,2018,4,38
Avadel Pharmaceuticals plc,2018,1,1
"Genesee & Wyoming, Inc.",2018,2,17
"FBL Financial Group, Inc.",2018,5,48
FactSet Research Systems Inc.,2018,10,100
Norwood Financial Corp.,2018,5,52
"ANSYS, Inc.",2018,3,34
"BJ&#39;s Restaurants, Inc.",2018,7,63
"Endologix, Inc.",2018,1,14
"Wilhelmina International, Inc.",2018,8,68
Pegasystems Inc.,2018,8,75
"NRG Energy, Inc.",2018,2,26
"TTEC Holdings, Inc.",2018,10,99
"Strategic Education, Inc.",2018,10,87
"VeriSign, Inc.",2018,8,75
"BioScrip, Inc.",2018,9,79
Charles & Colvard Ltd.,2018,7,64
Wintrust Financial Corporation,2018,5,51
"Aware, Inc.",2018,8,75
E*TRADE Financial Corporation,2018,10,95
"Antares Pharma, Inc.",2018,1,1
"Carver Bancorp, Inc.",2018,5,50
"Carriage Services, Inc.",2018,9,77
"Cohen & Steers Global Income Builder, Inc.",2018,1,9
TransAct Technologies Incorporated,2018,8,69
"Hibbett Sports, Inc.",2018,7,65
"Seelos Therapeutics, Inc.",2018,1,1
"Dover Motorsports, Inc.",2018,6,54
Marathon Oil Corporation,2018,2,24
Willis Lease Finance Corporation,2018,10,87
Sprint Corporation,2018,8,72
Enterprise Bancorp Inc,2018,5,52
"Amazon.com, Inc.",2018,8,73
Abercrombie & Fitch Company,2018,10,87
Allegheny Technologies Incorporated,2018,4,36
"AMERISAFE, Inc.",2018,5,49
