Name,Source,Sector,Industry
"Nicholas Financial, Inc.",2018,3,17
"Henry Schein, Inc.",2018,2,7
Core Laboratories N.V.,2018,8,72
Optical Cable Corporation,2018,8,63
"Impac Mortgage Holdings, Inc.",2018,8,71
"Schweitzer-Mauduit International, Inc.",2018,8,71
"Blonder Tongue Laboratories, Inc.",2018,7,50
"Novavax, Inc.",2018,1,2
Waters Corporation,2018,2,12
"Insperity, Inc.",2018,7,51
Geospace Technologies Corporation,2018,8,73
Broadway Financial Corporation,2018,3,18
"Sangamo Therapeutics, Inc.",2018,1,1
"Estee Lauder Companies, Inc. (The)",2018,9,86
"Asta Funding, Inc.",2018,3,17
"Asta Funding, Inc.",2018,3,17
"TG Therapeutics, Inc.",2018,1,1
Southern Copper Corporation,2018,8,66
"Intevac, Inc.",2018,8,60
Astrotech Corporation,2018,8,73
"NetApp, Inc.",2018,7,50
"Westell Technologies, Inc.",2018,8,63
"Nuance Communications, Inc.",2018,2,7
"Star Group, L.P.",2018,8,71
Open Text Corporation,2018,7,51
Ameren Corporation,2018,6,30
"Affiliated Managers Group, Inc.",2018,5,27
OceanFirst Financial Corp.,2018,8,71
"Regional Health Properties, Inc.",2018,2,10
"Barnwell Industries, Inc.",2018,6,34
"Tyson Foods, Inc.",2018,9,90
Pacific Gas & Electric Co.,2018,8,71
"SPAR Group, Inc.",2018,8,71
"Assertio Therapeutics, Inc.",2018,1,4
"Suburban Propane Partners, L.P.",2018,6,38
Columbus McKinnon Corporation,2018,8,68
Pangaea Logistics Solutions Ltd.,2018,8,62
Universal Display Corporation,2018,8,62
Landec Corporation,2018,8,71
"Dime Community Bancshares, Inc.",2018,3,18
IDT Corporation,2018,7,57
Tompkins Financial Corporation,2018,3,20
"Argan, Inc.",2018,8,79
IRIDEX Corporation,2018,2,11
"Loral Space and Communications, Inc.",2018,7,43
"Protalix BioTherapeutics, Inc.",2018,1,2
"Evolution Petroleum Corporation, Inc.",2018,6,34
"HC2 Holdings, Inc.",2018,8,78
