"","Symbol","Name","LastSale","MarketCap","ADR.TSO","IPOyear","Sector","Industry","Summary.Quote","X.x","X.y","finance_site","website","description","keywords"
"1","AABA","Altaba Inc.","68.07",36494852601.21,"n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/aaba",NA,124,"https://finance.yahoo.com/quote/AABA","http://www.altaba.com","The Investor Relations website contains information about Altaba Inc.&#039;s business for stockholders, potential investors, and financial analysts.",NA
"2","AAL","American Airlines Group, Inc.","31.74",14119066550.1,"n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/aal",NA,149,"https://finance.yahoo.com/quote/AAL","http://www.aa.com",NA,NA
"3","AAME","Atlantic American Corporation","2.33",46932360.52,"n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aame",NA,262,"https://finance.yahoo.com/quote/AAME","http://www.atlam.com",NA,NA
"4","AAOI","Applied Optoelectronics, Inc.","9.17",182846370.42,"n/a","2013","Technology","Semiconductors","https://www.nasdaq.com/symbol/aaoi",NA,198,"https://finance.yahoo.com/quote/AAOI","http://www.ao-inc.com","AOI is a leading, vertically integrated manufacturer of high-speed optical lasers, components, transceivers, and video equipment, primarily for four networking end-markets: internet data center, cable television, or CATV, telecommunications, or telecom, and fiber-to-the-home, or FTTH. ",NA
"5","AAON","AAON, Inc.","45.91",2392611632.51,"n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aaon",NA,15,"https://finance.yahoo.com/quote/AAON","http://www.aaon.com","AAON is a world leader in creating comfortable and ","green, building, LEED, HVAC, heating, ventilation, cooling, "
"6","AAPL","Apple Inc.","189",869603175000,"n/a","1980","Technology","Computer Manufacturing","https://www.nasdaq.com/symbol/aapl",NA,193,"https://finance.yahoo.com/quote/AAPL","http://www.apple.com","Discover the innovative world of Apple and shop everything iPhone, iPad, Apple Watch, Mac, and Apple TV, plus explore accessories, entertainment, and expert device support.",NA
"7","AAWW","Atlas Air Worldwide Holdings","39.9",1031483229,"n/a","n/a","Transportation","Transportation Services","https://www.nasdaq.com/symbol/aaww",NA,267,"https://finance.yahoo.com/quote/AAWW","http://www.atlasair.com",NA,NA
"8","AAXN","Axon Enterprise, Inc.","68",4020665852,"n/a","n/a","Capital Goods","Ordnance And Accessories","https://www.nasdaq.com/symbol/aaxn",NA,306,"https://finance.yahoo.com/quote/AAXN","http://www.axon.com","IE=edge",NA
"9","ABCB","Ameris Bancorp","35.96",1711167711.64,"n/a","1994","Finance","Major Banks","https://www.nasdaq.com/symbol/abcb",NA,163,"https://finance.yahoo.com/quote/ABCB","http://www.amerisbank.com","Welcome to Ameris Bank, a southeastern bank dedicated to the financial security and peace of mind of our communities. NASDAQ: ABCB",NA
"10","ABDC","Alcentra Capital Corp.","8.51",109571066.66,"n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/abdc",NA,94,"https://finance.yahoo.com/quote/ABDC","http://www.alcentracapital.com",NA,NA
"11","ABEO","Abeona Therapeutics Inc.","7.44",365765629.68,"n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abeo",NA,16,"https://finance.yahoo.com/quote/ABEO","http://www.abeonatherapeutics.com",NA,NA
"12","ABEOW","Abeona Therapeutics Inc.","2.9911",0,"n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abeow",NA,17,"https://finance.yahoo.com/quote/ABEOW","http://www.abeonatherapeutics.com",NA,NA
"13","ABIL","Ability Inc.","1.3",10450779.3,"n/a","2014","Capital Goods","Telecommunications Equipment","https://www.nasdaq.com/symbol/abil",NA,18,"https://finance.yahoo.com/quote/ABIL","http://www.interceptors.com","Cellular &amp; Satellite interception capable of working from long and extra-long distances. Our interceptor systems are fully passive &amp; completely undetectable",NA
"14","ABIO","ARCA biopharma, Inc.","9.41",15916205.74,"n/a","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/abio",NA,215,"https://finance.yahoo.com/quote/ABIO","http://arcabio.com",NA,NA
"15","ABMD","ABIOMED, Inc.","260.48",11753635132.8,"n/a","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/abmd",NA,19,"https://finance.yahoo.com/quote/ABMD","http://www.abiomed.com","",""
"16","ABTX","Allegiance Bancshares, Inc.","34.99",746738875.06,"n/a","2015","Finance","Major Banks","https://www.nasdaq.com/symbol/abtx",NA,106,"https://finance.yahoo.com/quote/ABTX","http://www.allegiancebank.com","As a Houston bank, Allegiance Bank offers a full suite of business and personal banking solutions, including business loans, treasury management and more.",NA
"17","ABUS","Arbutus Biopharma Corporation","2.4",139234012.8,"n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abus",NA,213,"https://finance.yahoo.com/quote/ABUS","http://www.arbutusbio.com","Your description","Your keywords"
"18","ACAD","ACADIA Pharmaceuticals Inc.","25.03",3601375996.43,"n/a","1985","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acad",NA,25,"https://finance.yahoo.com/quote/ACAD","http://www.acadia-pharm.com","As a leader in developing and commercializing innovative therapies for central nervous system disorders we are committed to improving the lives of patients.",NA
"19","ACBI","Atlantic Capital Bancshares, Inc.","17.58",423753787.38,"n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/acbi",NA,263,"https://finance.yahoo.com/quote/ACBI","http://www.atlanticcapitalbank.com","Bank in the Right Direction",NA
"20","ACER","Acer Therapeutics Inc.","19.12",192870380.56,"n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acer",NA,31,"https://finance.yahoo.com/quote/ACER","http://www.acertx.com","Rare Diseases - Acer Therapeutics , an orphan pharma company, is developing treatments for ehlers-danlos and maple syrup urine diseases.",NA
"21","ACGL","Arch Capital Group Ltd.","33.78",13640479257.36,"n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/acgl",NA,218,"https://finance.yahoo.com/quote/ACGL","http://www.archcapgroup.com",NA,NA
"22","ACGLO","Arch Capital Group Ltd.","24.52",0,"n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/acglo",NA,219,"https://finance.yahoo.com/quote/ACGLO","http://www.archcapgroup.com",NA,NA
"23","ACGLP","Arch Capital Group Ltd.","23.54",0,"n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/acglp",NA,220,"https://finance.yahoo.com/quote/ACGLP","http://www.archcapgroup.com",NA,NA
"24","ACHC","Acadia Healthcare Company, Inc.","32.92",2911653776.16,"n/a","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/achc",NA,24,"https://finance.yahoo.com/quote/ACHC","http://www.acadiahealthcare.com","Acadia Healthcare provides a network of addiction, behavioral and mental health treatment facilities in the United States, United Kingdom and Puerto Rico. We offer specialized detox, inpatient, residential and outpatient programs for men, women and children of all ages.",NA
"25","ACHN","Achillion Pharmaceuticals, Inc.","3.06",424499497.56,"n/a","2006","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/achn",NA,33,"https://finance.yahoo.com/quote/ACHN","http://www.achillion.com","",NA
"26","ACHV","Achieve Life Sciences, Inc. ","3.49",23962165.5,"n/a","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/achv",NA,32,"https://finance.yahoo.com/quote/ACHV","http://www.achievelifesciences.com",NA,NA
"27","ACIA","Acacia Communications, Inc.","49.02",1990155185.82,"n/a","2016","Technology","Semiconductors","https://www.nasdaq.com/symbol/acia",NA,22,"https://finance.yahoo.com/quote/ACIA","http://www.acacia-inc.com","High-speed coherent optical interconnect products that transform communications networks, relied upon by network equipment providers, hyperscalers, service providers.",NA
"28","ACIU","AC Immune SA","5.09",343892274.97,"n/a","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aciu",NA,21,"https://finance.yahoo.com/quote/ACIU","http://www.acimmune.com","AC Immune biopharmaceutical company developing innovative therapeutics with \'best in class\' potential against Alzheimer´s Disease and other conformational diseases along three axes: vaccines, antibodies and small molecules.","AC Immune, Alzheimer´s Disease, Biotech Company, Best in class therapeutics, Vaccine, Passive Immunization, Small molecule, Abeta, Anti-Abeta, Morphomer, Supraantigen, Medicines, Diagnostic, Conformational Disease, Clinical Development, AC Immune, Alzheimer´s Disease, Biotech Company, Best in class therapeutics, Vaccine, Passive Immunization, Small molecule, Abeta, Anti-Abeta, Morphomer, Supraantigen, Medicines, Diagnostic, Conformational Disease, Clinical Development"
"29","ACIW","ACI Worldwide, Inc.","31.42",3473895398.38,"n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/aciw",NA,34,"https://finance.yahoo.com/quote/ACIW","http://www.aciworldwide.com","ACI Worldwide delivers electronic banking and payment solutions for more than 5,000 financial institutions, merchants, billers and processors around the world.",""
