"","X.https...finance.yahoo.com.quote.TECD.","X.http...www.techdata.com."
"11","https://finance.yahoo.com/quote/TZAC",""
"12","https://finance.yahoo.com/quote/TZACU",""
"13","https://finance.yahoo.com/quote/TZACW",""
"33","https://finance.yahoo.com/quote/TCGP",""
"52","https://finance.yahoo.com/quote/OLD",""
"60","https://finance.yahoo.com/quote/SLIM",""
"62","https://finance.yahoo.com/quote/ORG",""
"75","https://finance.yahoo.com/quote/TBRG",""
"76","https://finance.yahoo.com/quote/TBRGU",""
"77","https://finance.yahoo.com/quote/TBRGW",""
"80","https://finance.yahoo.com/quote/TIBRW",""
"81","https://finance.yahoo.com/quote/TTTN",""
"92","https://finance.yahoo.com/quote/TKKS",""
"93","https://finance.yahoo.com/quote/TKKSR",""
"94","https://finance.yahoo.com/quote/TKKSU",""
"95","https://finance.yahoo.com/quote/TKKSW",""
"103","https://finance.yahoo.com/quote/TOTA",""
"104","https://finance.yahoo.com/quote/TOTAR",""
"105","https://finance.yahoo.com/quote/TOTAU",""
"106","https://finance.yahoo.com/quote/TOTAW",""
"109","https://finance.yahoo.com/quote/TBLTW",""
"124","https://finance.yahoo.com/quote/TANNI",""
"125","https://finance.yahoo.com/quote/TANNL",""
"126","https://finance.yahoo.com/quote/TANNZ",""
"136","https://finance.yahoo.com/quote/TDACW",""
"143","https://finance.yahoo.com/quote/TMCXW",""
"163","https://finance.yahoo.com/quote/THCB",""
"164","https://finance.yahoo.com/quote/THCBU",""
"165","https://finance.yahoo.com/quote/THCBW",""
"167","https://finance.yahoo.com/quote/BROGR",""
"169","https://finance.yahoo.com/quote/BROGW",""
"180","https://finance.yahoo.com/quote/USWSW",""
"235","https://finance.yahoo.com/quote/VALX",""
"241","https://finance.yahoo.com/quote/BBH",""
"242","https://finance.yahoo.com/quote/PPH",""
"243","https://finance.yahoo.com/quote/VWOB",""
"244","https://finance.yahoo.com/quote/VNQI",""
"245","https://finance.yahoo.com/quote/VCIT",""
"246","https://finance.yahoo.com/quote/VGIT",""
"247","https://finance.yahoo.com/quote/VIGI",""
"248","https://finance.yahoo.com/quote/VYMI",""
"249","https://finance.yahoo.com/quote/VCLT",""
"250","https://finance.yahoo.com/quote/VGLT",""
"251","https://finance.yahoo.com/quote/VMBS",""
"252","https://finance.yahoo.com/quote/VONE",""
"253","https://finance.yahoo.com/quote/VONG",""
"254","https://finance.yahoo.com/quote/VONV",""
"255","https://finance.yahoo.com/quote/VTWO",""
"256","https://finance.yahoo.com/quote/VTWG",""
"257","https://finance.yahoo.com/quote/VTWV",""
"258","https://finance.yahoo.com/quote/VTHR",""
"259","https://finance.yahoo.com/quote/VCSH",""
"260","https://finance.yahoo.com/quote/VTIP",""
"261","https://finance.yahoo.com/quote/VGSH",""
"262","https://finance.yahoo.com/quote/BND",""
"263","https://finance.yahoo.com/quote/VTC",""
"264","https://finance.yahoo.com/quote/BNDX",""
"265","https://finance.yahoo.com/quote/VXUS",""
"266","https://finance.yahoo.com/quote/BNDW",""
"272","https://finance.yahoo.com/quote/VTIQ",""
"273","https://finance.yahoo.com/quote/VTIQU",""
"274","https://finance.yahoo.com/quote/VTIQW",""
"281","https://finance.yahoo.com/quote/VERBW",""
"302","https://finance.yahoo.com/quote/CIZ",""
"303","https://finance.yahoo.com/quote/VSDA",""
"304","https://finance.yahoo.com/quote/CEY",""
"305","https://finance.yahoo.com/quote/CEZ",""
"306","https://finance.yahoo.com/quote/CID",""
"307","https://finance.yahoo.com/quote/CIL",""
"308","https://finance.yahoo.com/quote/CFO",""
"309","https://finance.yahoo.com/quote/CFA",""
"310","https://finance.yahoo.com/quote/CSF",""
"311","https://finance.yahoo.com/quote/CDC",""
"312","https://finance.yahoo.com/quote/CDL",""
"313","https://finance.yahoo.com/quote/VSMV",""
"314","https://finance.yahoo.com/quote/CSB",""
"315","https://finance.yahoo.com/quote/CSA",""
"318","https://finance.yahoo.com/quote/VKTXW",""
"329","https://finance.yahoo.com/quote/BBC",""
"330","https://finance.yahoo.com/quote/BBP",""
"355","https://finance.yahoo.com/quote/HHHH",""
"356","https://finance.yahoo.com/quote/HHHHR",""
"357","https://finance.yahoo.com/quote/HHHHU",""
"358","https://finance.yahoo.com/quote/HHHHW",""
"368","https://finance.yahoo.com/quote/WINC",""
"369","https://finance.yahoo.com/quote/WBND",""
"379","https://finance.yahoo.com/quote/WHFBZ",""
"392","https://finance.yahoo.com/quote/AGND",""
"393","https://finance.yahoo.com/quote/CXSE",""
"394","https://finance.yahoo.com/quote/EMCG",""
"395","https://finance.yahoo.com/quote/EMCB",""
"396","https://finance.yahoo.com/quote/DGRE",""
"397","https://finance.yahoo.com/quote/DXGE",""
"398","https://finance.yahoo.com/quote/HYZD",""
"399","https://finance.yahoo.com/quote/AGZD",""
"401","https://finance.yahoo.com/quote/DXJS",""
"402","https://finance.yahoo.com/quote/GULF",""
"403","https://finance.yahoo.com/quote/HYND",""
"404","https://finance.yahoo.com/quote/DGRW",""
"405","https://finance.yahoo.com/quote/DGRS",""
"430","https://finance.yahoo.com/quote/XYN",""
"431","https://finance.yahoo.com/quote/XYNPW",""
"432","https://finance.yahoo.com/quote/YNDX",""
"451","https://finance.yahoo.com/quote/ZNWAA",""
"506","https://finance.yahoo.com/quote/AEB",""
"507","https://finance.yahoo.com/quote/AED.CL",""
"509","https://finance.yahoo.com/quote/AEH",""
"514","https://finance.yahoo.com/quote/MGR",""
"517","https://finance.yahoo.com/quote/MITT^A",""
"518","https://finance.yahoo.com/quote/MITT^B",""
"524","https://finance.yahoo.com/quote/AL^A",""
"528","https://finance.yahoo.com/quote/ALP^Q",""
"539","https://finance.yahoo.com/quote/ARE^D",""
"541","https://finance.yahoo.com/quote/AQNA",""
"542","https://finance.yahoo.com/quote/BABA",""
"554","https://finance.yahoo.com/quote/NCV^A",""
"556","https://finance.yahoo.com/quote/NCZ^A",""
"557","https://finance.yahoo.com/quote/ACV",""
"559","https://finance.yahoo.com/quote/NFJ",""
"562","https://finance.yahoo.com/quote/ALL^A",""
"563","https://finance.yahoo.com/quote/ALL^B",""
"564","https://finance.yahoo.com/quote/ALL^D",""
"565","https://finance.yahoo.com/quote/ALL^E",""
"566","https://finance.yahoo.com/quote/ALL^F",""
"567","https://finance.yahoo.com/quote/ALL^G",""
"569","https://finance.yahoo.com/quote/ALLY^A",""
"586","https://finance.yahoo.com/quote/AEP^B",""
"590","https://finance.yahoo.com/quote/AFGB",""
"591","https://finance.yahoo.com/quote/AFGE",""
"592","https://finance.yahoo.com/quote/AFGH",""
"594","https://finance.yahoo.com/quote/AMH^D",""
"595","https://finance.yahoo.com/quote/AMH^E",""
"596","https://finance.yahoo.com/quote/AMH^F",""
"597","https://finance.yahoo.com/quote/AMH^G",""
"598","https://finance.yahoo.com/quote/AMH^H",""
"600","https://finance.yahoo.com/quote/AIG.WS",""
"601","https://finance.yahoo.com/quote/AIG^A",""
"627","https://finance.yahoo.com/quote/NLY^C",""
"628","https://finance.yahoo.com/quote/NLY^D",""
"629","https://finance.yahoo.com/quote/NLY^F",""
"630","https://finance.yahoo.com/quote/NLY^G",""
"631","https://finance.yahoo.com/quote/NLY^H.CL",""
"636","https://finance.yahoo.com/quote/ANH^A",""
"637","https://finance.yahoo.com/quote/ANH^B",""
"638","https://finance.yahoo.com/quote/ANH^C",""
"645","https://finance.yahoo.com/quote/ARI^C.CL",""
"647","https://finance.yahoo.com/quote/APO^A",""
"648","https://finance.yahoo.com/quote/APO^B",""
"649","https://finance.yahoo.com/quote/AIY",""
"662","https://finance.yahoo.com/quote/ABR^A",""
"663","https://finance.yahoo.com/quote/ABR^B",""
"664","https://finance.yahoo.com/quote/ABR^C",""
"676","https://finance.yahoo.com/quote/AFC",""
"680","https://finance.yahoo.com/quote/ARES^A",""
"682","https://finance.yahoo.com/quote/ARGD",""
"686","https://finance.yahoo.com/quote/AI^B",""
"687","https://finance.yahoo.com/quote/AI^C",""
"688","https://finance.yahoo.com/quote/AIC",""
"693","https://finance.yahoo.com/quote/ARR^A",""
"694","https://finance.yahoo.com/quote/ARR^B",""
"705","https://finance.yahoo.com/quote/AHT^D",""
"706","https://finance.yahoo.com/quote/AHT^F",""
"707","https://finance.yahoo.com/quote/AHT^G",""
"708","https://finance.yahoo.com/quote/AHT^H",""
"709","https://finance.yahoo.com/quote/AHT^I",""
"712","https://finance.yahoo.com/quote/AHL^C",""
"713","https://finance.yahoo.com/quote/AHL^D",""
"715","https://finance.yahoo.com/quote/ASB^C",""
"716","https://finance.yahoo.com/quote/ASB^D",""
"717","https://finance.yahoo.com/quote/ASB^E",""
"722","https://finance.yahoo.com/quote/AGO^B",""
"723","https://finance.yahoo.com/quote/AGO^E",""
"724","https://finance.yahoo.com/quote/AGO^F",""
"728","https://finance.yahoo.com/quote/TBB",""
"729","https://finance.yahoo.com/quote/TBC",""
"745","https://finance.yahoo.com/quote/AVTR",""
"746","https://finance.yahoo.com/quote/AVTR^A",""
"756","https://finance.yahoo.com/quote/AXS^D",""
"757","https://finance.yahoo.com/quote/AXS^E",""
"759","https://finance.yahoo.com/quote/AXO",""
"765","https://finance.yahoo.com/quote/BRPM.U",""
"766","https://finance.yahoo.com/quote/BRPM.WS",""
"775","https://finance.yahoo.com/quote/BANC^D",""
"776","https://finance.yahoo.com/quote/BANC^E",""
"786","https://finance.yahoo.com/quote/SAN^B",""
"790","https://finance.yahoo.com/quote/BAC^A",""
"791","https://finance.yahoo.com/quote/BAC^B",""
"792","https://finance.yahoo.com/quote/BAC^C",""
"793","https://finance.yahoo.com/quote/BAC^E",""
"794","https://finance.yahoo.com/quote/BAC^K",""
"795","https://finance.yahoo.com/quote/BAC^L",""
"796","https://finance.yahoo.com/quote/BAC^W",""
"797","https://finance.yahoo.com/quote/BAC^Y",""
"798","https://finance.yahoo.com/quote/BML^G",""
"799","https://finance.yahoo.com/quote/BML^H",""
"800","https://finance.yahoo.com/quote/BML^J",""
"801","https://finance.yahoo.com/quote/BML^L",""
"806","https://finance.yahoo.com/quote/BK^C",""
"822","https://finance.yahoo.com/quote/BBT^D",""
"823","https://finance.yahoo.com/quote/BBT^E",""
"824","https://finance.yahoo.com/quote/BBT^F",""
"825","https://finance.yahoo.com/quote/BBT^G",""
"826","https://finance.yahoo.com/quote/BBT^H",""
"832","https://finance.yahoo.com/quote/BDXA",""
"834","https://finance.yahoo.com/quote/BDC^B",""
"837","https://finance.yahoo.com/quote/BRK.A",""
"838","https://finance.yahoo.com/quote/BRK.B",""
"847","https://finance.yahoo.com/quote/BH.A",""
"850","https://finance.yahoo.com/quote/BIO.B",""
"938","https://finance.yahoo.com/quote/BXP^B",""
"944","https://finance.yahoo.com/quote/BPT",""
"947","https://finance.yahoo.com/quote/BHR^B",""
"948","https://finance.yahoo.com/quote/BHR^D",""
"957","https://finance.yahoo.com/quote/BSA",""
"969","https://finance.yahoo.com/quote/DTLA^",""
"975","https://finance.yahoo.com/quote/BF.A",""
"976","https://finance.yahoo.com/quote/BF.B",""
"979","https://finance.yahoo.com/quote/BC^A",""
"980","https://finance.yahoo.com/quote/BC^B",""
"981","https://finance.yahoo.com/quote/BC^C",""
"992","https://finance.yahoo.com/quote/GYB",""
"993","https://finance.yahoo.com/quote/PFH",""
