"","X.https...finance.yahoo.com.quote.CAI.","X.http...www.capps.com."
"2","https://finance.yahoo.com/quote/CAI^A",""
"3","https://finance.yahoo.com/quote/CAI^B",""
"10","https://finance.yahoo.com/quote/CPE^A",""
"28","https://finance.yahoo.com/quote/COF^C",""
"29","https://finance.yahoo.com/quote/COF^D",""
"30","https://finance.yahoo.com/quote/COF^F",""
"31","https://finance.yahoo.com/quote/COF^G",""
"32","https://finance.yahoo.com/quote/COF^H",""
"33","https://finance.yahoo.com/quote/COF^P",""
"37","https://finance.yahoo.com/quote/CIC.U",""
"38","https://finance.yahoo.com/quote/CIC.WS",""
"41","https://finance.yahoo.com/quote/CMO^E",""
"61","https://finance.yahoo.com/quote/CBL^D",""
"62","https://finance.yahoo.com/quote/CBL^E",""
"63","https://finance.yahoo.com/quote/CBO",""
"67","https://finance.yahoo.com/quote/CBS.A",""
"68","https://finance.yahoo.com/quote/CBX",""
"71","https://finance.yahoo.com/quote/CDR^B",""
"72","https://finance.yahoo.com/quote/CDR^C",""
"82","https://finance.yahoo.com/quote/CNP^B",""
"84","https://finance.yahoo.com/quote/EBR.B",""
"101","https://finance.yahoo.com/quote/CHMI^A",""
"102","https://finance.yahoo.com/quote/CHMI^B",""
"104","https://finance.yahoo.com/quote/CHK^D",""
"111","https://finance.yahoo.com/quote/CIM^A",""
"112","https://finance.yahoo.com/quote/CIM^B",""
"113","https://finance.yahoo.com/quote/CIM^C",""
"114","https://finance.yahoo.com/quote/CIM^D",""
"122","https://finance.yahoo.com/quote/COE",""
"138","https://finance.yahoo.com/quote/CBB^B",""
"146","https://finance.yahoo.com/quote/C^J",""
"147","https://finance.yahoo.com/quote/C^K",""
"148","https://finance.yahoo.com/quote/C^N",""
"149","https://finance.yahoo.com/quote/C^S",""
"151","https://finance.yahoo.com/quote/CFG^D",""
"154","https://finance.yahoo.com/quote/CIO^A",""
"156","https://finance.yahoo.com/quote/CCC",""
"164","https://finance.yahoo.com/quote/CWEN.A",""
"170","https://finance.yahoo.com/quote/CMS^B",""
"171","https://finance.yahoo.com/quote/CMSA",""
"172","https://finance.yahoo.com/quote/CMSC",""
"173","https://finance.yahoo.com/quote/CMSD",""
"184","https://finance.yahoo.com/quote/CCEP",""
"190","https://finance.yahoo.com/quote/LDP",""
"200","https://finance.yahoo.com/quote/CCH.U",""
"201","https://finance.yahoo.com/quote/CCH.WS",""
"207","https://finance.yahoo.com/quote/CLNY^B",""
"208","https://finance.yahoo.com/quote/CLNY^E",""
"209","https://finance.yahoo.com/quote/CLNY^G",""
"210","https://finance.yahoo.com/quote/CLNY^H",""
"211","https://finance.yahoo.com/quote/CLNY^I",""
"212","https://finance.yahoo.com/quote/CLNY^J",""
"216","https://finance.yahoo.com/quote/CCZ",""
"224","https://finance.yahoo.com/quote/CIG.C",""
"230","https://finance.yahoo.com/quote/CODI^A",""
"231","https://finance.yahoo.com/quote/CODI^B",""
"242","https://finance.yahoo.com/quote/STZ.B",""
"257","https://finance.yahoo.com/quote/CORR^A",""
"262","https://finance.yahoo.com/quote/GYC",""
"263","https://finance.yahoo.com/quote/OFC",""
"266","https://finance.yahoo.com/quote/CMRE^B",""
"267","https://finance.yahoo.com/quote/CMRE^C",""
"268","https://finance.yahoo.com/quote/CMRE^D",""
"269","https://finance.yahoo.com/quote/CMRE^E",""
"278","https://finance.yahoo.com/quote/CRD.A",""
"279","https://finance.yahoo.com/quote/CRD.B",""
"288","https://finance.yahoo.com/quote/CCI^A",""
"296","https://finance.yahoo.com/quote/CFR^A",""
"306","https://finance.yahoo.com/quote/CUBI^C",""
"307","https://finance.yahoo.com/quote/CUBI^D",""
"308","https://finance.yahoo.com/quote/CUBI^E",""
"309","https://finance.yahoo.com/quote/CUBI^F",""
"317","https://finance.yahoo.com/quote/DHR^A",""
"324","https://finance.yahoo.com/quote/DCP^B",""
"325","https://finance.yahoo.com/quote/DCP^C",""
"340","https://finance.yahoo.com/quote/DKT",""
"342","https://finance.yahoo.com/quote/DXB",""
"351","https://finance.yahoo.com/quote/DSX^B",""
"355","https://finance.yahoo.com/quote/DLR^C",""
"356","https://finance.yahoo.com/quote/DLR^G",""
"357","https://finance.yahoo.com/quote/DLR^I",""
"358","https://finance.yahoo.com/quote/DLR^J",""
"359","https://finance.yahoo.com/quote/DLR^K",""
"361","https://finance.yahoo.com/quote/DDT",""
"369","https://finance.yahoo.com/quote/DCUD",""
"370","https://finance.yahoo.com/quote/DRUA",""
"386","https://finance.yahoo.com/quote/DCF",""
"387","https://finance.yahoo.com/quote/DHF",""
"388","https://finance.yahoo.com/quote/DMB",""
"389","https://finance.yahoo.com/quote/DSM",""
"393","https://finance.yahoo.com/quote/DS^B",""
"394","https://finance.yahoo.com/quote/DS^C",""
"395","https://finance.yahoo.com/quote/DS^D",""
"397","https://finance.yahoo.com/quote/DTJ",""
"398","https://finance.yahoo.com/quote/DTQ",""
"399","https://finance.yahoo.com/quote/DTV",""
"400","https://finance.yahoo.com/quote/DTW",""
"401","https://finance.yahoo.com/quote/DTY",""
"409","https://finance.yahoo.com/quote/DUK^A",""
"410","https://finance.yahoo.com/quote/DUKB",""
"411","https://finance.yahoo.com/quote/DUKH",""
"416","https://finance.yahoo.com/quote/DLNG^A",""
"417","https://finance.yahoo.com/quote/DLNG^B",""
"419","https://finance.yahoo.com/quote/DX^A",""
"420","https://finance.yahoo.com/quote/DX^B",""
