"","ticker","finance_site","website","description","keywords"
"1","LBC","https://finance.yahoo.com/quote/LBC","http://www.lutherburbanksavings.com","Our mission is to improve your financial future – whether you are a customer, employee or shareholder. You&#039;re worth more here.",NA
"2","LYFT","https://finance.yahoo.com/quote/LYFT","http://www.lyft.com",NA,NA
"3","MBTF","https://finance.yahoo.com/quote/MBTF","http://www.mbandt.com","At Monroe Bank &amp; Trust, we help our customers’ remarkable stories unfold through an uncommon, optimistic culture, offering a complete range of business and personal accounts, credit, and mortgage options, investment and retirement services. We are Monroe Bank &amp; Trust. We’re here to listen. We’re here to help. And we believe in the story of you.",NA
"4","MCBC","https://finance.yahoo.com/quote/MCBC","http://www.macatawabank.com",NA,"Macatawa Bank best bank in grand rapids michigan, mac bank, west michigan bank, grand rapids bank, holland bank, banks near me, bank in grand rapids, bank mi, banks in grand rapids mi, banks in grand rapids michigan, macbank, macatawa, community bank, banks headquartered in michigan"
"5","MFNC","https://finance.yahoo.com/quote/MFNC","http://www.bankmbank.com",NA,NA
"6","MTSI","https://finance.yahoo.com/quote/MTSI","http://www.macom.com","MACOM is the preferred partner of the world’s leading communication infrastructure, and a pillar of the semiconductor industry, and focus on developing and innovating products in rf power, semiconductor, diodes and so on.","Basic communication equipment, Semiconductor, Diodes, Rf power"
"7","MGNX","https://finance.yahoo.com/quote/MGNX","http://www.macrogenics.com",NA,NA
"8","MDGL","https://finance.yahoo.com/quote/MDGL","http://www.madrigalpharma.com","Madrigal Pharmaceuticals, Inc. (Nasdaq: MGDL) is a clinical-stage biopharmaceutical company pursuing novel therapeutics that target a specific thyroid hormone receptor pathway in the liver, which is a key regulatory mechanism common to a spectrum of cardio-metabolic and fatty liver diseases with high unmet medical need.",NA
"9","MAGS","https://finance.yahoo.com/quote/MAGS","http://magalsecurity.com",NA,NA
"10","MGLN","https://finance.yahoo.com/quote/MGLN","http://www.magellanhealth.com","With a focus on managing the fastest growing, most complex areas of healthcare, Magellan Health brings solutions to the healthcare industry while leading humanity to healthy, vibrant lives.",NA
"11","MGTA","https://finance.yahoo.com/quote/MGTA","http://www.magentatx.com",NA,NA
"12","MGIC","https://finance.yahoo.com/quote/MGIC","http://www.magicsoftware.com","Magic Software offers centralized integration platforms that allow you to quickly connect your SaaS enterprise applications and automate business processes.",NA
"13","MGYR","https://finance.yahoo.com/quote/MGYR","http://www.magbank.com",NA,NA
"14","MHLD","https://finance.yahoo.com/quote/MHLD","http://www.maiden.bm",NA,NA
"15","MJCO","https://finance.yahoo.com/quote/MJCO","http://www.majesco.com","width=device-width, initial-scale=1, shrink-to-fit=no",NA
"16","MBUU","https://finance.yahoo.com/quote/MBUU","http://www.malibuboats.com","Malibu Boats: The World’s Best Wakesurfing, Wakeboarding & Water Skiing Towboats, #1 in Quality, Luxury & Performance","Malibu Boats"
"17","MLVF","https://finance.yahoo.com/quote/MLVF","http://ir.malvernbancorp.com",NA,NA
"18","MAMS","https://finance.yahoo.com/quote/MAMS","http://www.mamsoftware.com","MAM Software provides business management software that delivers a competitive advantage to the automotive aftermarket, supply and distribution industries.",NA
"19","TUSK","https://finance.yahoo.com/quote/TUSK","http://www.mammothenergy.com",NA,NA
"20","MANH","https://finance.yahoo.com/quote/MANH","http://www.manh.com","Manhattan Associates designs, builds and delivers supply chain, omnichannel and inventory software so you’re ready to sell and execute in the store and throughout your network.","omnichannel retail, point of sale, store fulfillment, store inventory, warehouse management, supply chain software"
"21","LOAN","https://finance.yahoo.com/quote/LOAN","http://www.manhattanbridgecapital.com","Manhattan Bridge Capital offers short-term, secured, non–banking or “hard money” loans in New York State. Rated #1 Hard Money Lender in NYC",NA
"22","MNTX","https://finance.yahoo.com/quote/MNTX","http://www.manitexinternational.com","MANITEX","MANITEX"
"23","MTEX","https://finance.yahoo.com/quote/MTEX","http://www.mannatech.com","Mannatech",NA
"24","MNKD","https://finance.yahoo.com/quote/MNKD","http://www.mannkindcorp.com","MannKind Corporation (NASDAQ and TASE: MNKD) is a biopharmaceutical company that focuses on the discovery, development and commercialization of therapeutic products for patients with diseases such as diabetes.",NA
"25","MANT","https://finance.yahoo.com/quote/MANT","http://www.mantech.com","ManTech provides innovative solutions in cyber security, big data analytics, enterprise IT and systems engineering to agencies that carry out some of our nation’s most important missions.",NA
