"","X.https...finance.yahoo.com.quote.YI.","X.http...www.111.com.cn."
"1","https://finance.yahoo.com/quote/YI","http://www.111.com.cn"
"2","https://finance.yahoo.com/quote/PIH","http://www.1347pih.com"
"3","https://finance.yahoo.com/quote/PIHPP","http://www.1347pih.com"
"4","https://finance.yahoo.com/quote/TURN","http://www.180degreecapital.com"
"5","https://finance.yahoo.com/quote/FLWS","http://www.1800flowers.com"
"6","https://finance.yahoo.com/quote/BCOW","http://www.1895bancorpofwisconsin.com"
"7","https://finance.yahoo.com/quote/FCCY","http://www.1stconstitution.com"
"8","https://finance.yahoo.com/quote/SRCE","http://www.1stsource.com"
"9","https://finance.yahoo.com/quote/VNET","http://www.21vianet.com"
"10","https://finance.yahoo.com/quote/TWOU","http://2u.com"
"11","https://finance.yahoo.com/quote/QFIN","http://www.360jie.com.cn"
"12","https://finance.yahoo.com/quote/JOBS","http://www.51job.com"
"13","https://finance.yahoo.com/quote/JFK","http://www.8icorp.com"
"14","https://finance.yahoo.com/quote/JFKKR","http://www.8icorp.com"
"15","https://finance.yahoo.com/quote/JFKKU","http://www.8icorp.com"
"16","https://finance.yahoo.com/quote/JFKKW","http://www.8icorp.com"
"17","https://finance.yahoo.com/quote/EGHT","http://www.8x8.com"
"18","https://finance.yahoo.com/quote/AAON","http://www.aaon.com"
"19","https://finance.yahoo.com/quote/ABEO","http://www.abeonatherapeutics.com"
"20","https://finance.yahoo.com/quote/ABEOW","http://www.abeonatherapeutics.com"
"21","https://finance.yahoo.com/quote/ABIL","http://www.interceptors.com"
"22","https://finance.yahoo.com/quote/ABMD","http://www.abiomed.com"
"23","https://finance.yahoo.com/quote/AXAS","http://www.abraxaspetroleum.com"
"24","https://finance.yahoo.com/quote/ACIU","http://www.acimmune.com"
"25","https://finance.yahoo.com/quote/ACIA","http://www.acacia-inc.com"
"26","https://finance.yahoo.com/quote/ACTG","http://www.acaciaresearch.com"
"27","https://finance.yahoo.com/quote/ACHC","http://www.acadiahealthcare.com"
"28","https://finance.yahoo.com/quote/ACAD","http://www.acadia-pharm.com"
"32","https://finance.yahoo.com/quote/ACST","http://www.acastipharma.com"
"33","https://finance.yahoo.com/quote/AXDX","http://acceleratediagnostics.com"
"34","https://finance.yahoo.com/quote/XLRN","http://www.acceleronpharma.com"
"35","https://finance.yahoo.com/quote/ARAY","http://www.accuray.com"
"36","https://finance.yahoo.com/quote/ACRX","http://www.acelrx.com"
"37","https://finance.yahoo.com/quote/ACER","http://www.acertx.com"
"38","https://finance.yahoo.com/quote/ACHV","http://www.achievelifesciences.com"
"39","https://finance.yahoo.com/quote/ACHN","http://www.achillion.com"
"40","https://finance.yahoo.com/quote/ACIW","http://www.aciworldwide.com"
"41","https://finance.yahoo.com/quote/ACRS","http://www.aclaristx.com"
"42","https://finance.yahoo.com/quote/ACMR","http://www.acmrcsh.com"
"43","https://finance.yahoo.com/quote/ACNB","http://www.acnb.com"
"44","https://finance.yahoo.com/quote/ACOR","http://www.acorda.com"
"49","https://finance.yahoo.com/quote/ADMS","http://www.adamaspharma.com"
"50","https://finance.yahoo.com/quote/ADMP","http://www.adamispharmaceuticals.com"
"51","https://finance.yahoo.com/quote/ADAP","http://www.adaptimmune.com"
"52","https://finance.yahoo.com/quote/ADUS","http://www.addus.com"
"53","https://finance.yahoo.com/quote/AEY","http://www.addvantagetechnologies.com"
"54","https://finance.yahoo.com/quote/IOTS","http://www.adestotech.com"
"55","https://finance.yahoo.com/quote/ADIL","http://www.adialpharma.com"
"57","https://finance.yahoo.com/quote/ADMA","http://www.admabiologics.com"
