"","X.https...finance.yahoo.com.quote.TECD.","X.http...www.techdata.com."
"1","https://finance.yahoo.com/quote/TECD","http://www.techdata.com"
"2","https://finance.yahoo.com/quote/TCCO","http://www.tccsecure.com"
"3","https://finance.yahoo.com/quote/TTGT","http://www.techtarget.com"
"4","https://finance.yahoo.com/quote/TGLS","http://www.tecnoglass.com"
"5","https://finance.yahoo.com/quote/TGEN","http://www.tecogen.com"
"6","https://finance.yahoo.com/quote/TNAV","http://www.telenav.com"
"7","https://finance.yahoo.com/quote/TLGT","http://www.teligent.com"
"8","https://finance.yahoo.com/quote/TELL","http://www.tellurianinc.com"
"9","https://finance.yahoo.com/quote/TENB","http://www.tenable.com"
"10","https://finance.yahoo.com/quote/TENX","http://www.tenaxthera.com"
"14","https://finance.yahoo.com/quote/TER","http://www.teradyne.com"
"15","https://finance.yahoo.com/quote/TERP","http://www.terraformpower.com"
"16","https://finance.yahoo.com/quote/TBNK","http://www.territorialsavings.net"
"17","https://finance.yahoo.com/quote/TSLA","http://www.tesla.com"
"18","https://finance.yahoo.com/quote/TESS","http://www.tessco.com"
"19","https://finance.yahoo.com/quote/TTEK","http://www.tetratech.com"
"20","https://finance.yahoo.com/quote/TTPH","http://www.tphase.com"
"21","https://finance.yahoo.com/quote/TCBI","http://www.texascapitalbank.com"
"22","https://finance.yahoo.com/quote/TCBIL","http://www.texascapitalbank.com"
"23","https://finance.yahoo.com/quote/TCBIP","http://www.texascapitalbank.com"
"24","https://finance.yahoo.com/quote/TXN","http://www.ti.com"
"25","https://finance.yahoo.com/quote/TXRH","http://www.texasroadhouse.com"
"26","https://finance.yahoo.com/quote/TFSL","http://www.thirdfederal.com"
"27","https://finance.yahoo.com/quote/TGTX","http://www.tgtherapeutics.com"
"28","https://finance.yahoo.com/quote/WTER","http://www.thealkalinewaterco.com"
"29","https://finance.yahoo.com/quote/ANDE","http://www.andersonsinc.com"
"30","https://finance.yahoo.com/quote/TBBK","http://www.thebancorp.com"
"31","https://finance.yahoo.com/quote/BPRN","http://www.thebankofprinceton.com"
"32","https://finance.yahoo.com/quote/CG","http://www.carlyle.com"
"34","https://finance.yahoo.com/quote/CAKE","http://www.thecheesecakefactory.com"
"35","https://finance.yahoo.com/quote/CHEF","http://www.chefswarehouse.com"
"36","https://finance.yahoo.com/quote/TCFC","http://www.cbtc.com"
"37","https://finance.yahoo.com/quote/DSGX","http://www.descartes.com"
"38","https://finance.yahoo.com/quote/DXYN","http://www.thedixiegroup.com"
"39","https://finance.yahoo.com/quote/ENSG","http://www.ensigngroup.net"
"40","https://finance.yahoo.com/quote/XONE","http://www.exone.com"
"41","https://finance.yahoo.com/quote/FBMS","http://www.thefirstbank.com"
"42","https://finance.yahoo.com/quote/FLIC","http://www.fnbli.com"
"43","https://finance.yahoo.com/quote/GT","http://www.goodyear.com"
"44","https://finance.yahoo.com/quote/HABT","http://www.habitburger.com"
"45","https://finance.yahoo.com/quote/HCKT","http://www.thehackettgroup.com"
"46","https://finance.yahoo.com/quote/HAIN","http://www.hain.com"
"47","https://finance.yahoo.com/quote/CUBA","http://www.herzfeld.com"
"48","https://finance.yahoo.com/quote/INTG","http://www.intgla.com"
"49","https://finance.yahoo.com/quote/JYNT","http://www.thejoint.com"
"50","https://finance.yahoo.com/quote/KEYW","http://www.keywcorp.com"
"51","https://finance.yahoo.com/quote/KHC","http://www.kraftheinzcompany.com"
"53","https://finance.yahoo.com/quote/LOVE","http://www.lovesac.com"
"54","https://finance.yahoo.com/quote/MSG","http://www.themadisonsquaregardencompany.com"
"55","https://finance.yahoo.com/quote/MDCO","http://www.themedicinescompany.com"
"56","https://finance.yahoo.com/quote/MEET","http://www.themeetgroup.com"
"57","https://finance.yahoo.com/quote/MIK","http://www.michaels.com"
"58","https://finance.yahoo.com/quote/MIDD","http://www.middleby.com"
"59","https://finance.yahoo.com/quote/NAVG","http://www.navg.com"
"61","https://finance.yahoo.com/quote/STKS","http://www.togrp.com"
"63","https://finance.yahoo.com/quote/PRSC","http://www.prscholdings.com"
"64","https://finance.yahoo.com/quote/RMR","http://www.rmrgroup.com"
"65","https://finance.yahoo.com/quote/SMPL","http://www.thesimplygoodfoodscompany.com"
"66","https://finance.yahoo.com/quote/TSG","http://www.starsgroup.com"
"67","https://finance.yahoo.com/quote/TTD","http://www.thetradedesk.com"
"68","https://finance.yahoo.com/quote/YORW","http://www.yorkwater.com"
"69","https://finance.yahoo.com/quote/NCTY","http://www.the9.com"
"70","https://finance.yahoo.com/quote/TXMD","http://www.therapeuticsmd.com"
"71","https://finance.yahoo.com/quote/TRPX","http://therapixbio.com"
"72","https://finance.yahoo.com/quote/TBPH","http://www.theravance.com"
"73","https://finance.yahoo.com/quote/TST","http://www.thestreet.com"
"74","https://finance.yahoo.com/quote/TCRD","http://www.thlcredit.com"
"78","https://finance.yahoo.com/quote/TIBR","http://www.tiberiusco.com"
"79","https://finance.yahoo.com/quote/TIBRU","http://www.tiberiusco.com"
"82","https://finance.yahoo.com/quote/TTS","http://www.tileshop.com"
"83","https://finance.yahoo.com/quote/TLRY","http://www.tilray.com"
"84","https://finance.yahoo.com/quote/TSBK","http://www.timberlandbank.com"
"85","https://finance.yahoo.com/quote/TIPT","http://www.tiptreeinc.com"
"86","https://finance.yahoo.com/quote/TITN","http://www.titanmachinery.com"
"87","https://finance.yahoo.com/quote/TMDI","http://www.titanmedicalinc.com"
"88","https://finance.yahoo.com/quote/TTNP","http://www.titanpharm.com"
"89","https://finance.yahoo.com/quote/TVTY","http://www.tivityhealth.com"
"90","https://finance.yahoo.com/quote/TIVO","http://business.tivo.com"
"91","https://finance.yahoo.com/quote/TLSA","http://www.tizianalifesciences.com"
"96","https://finance.yahoo.com/quote/TMUS","http://www.t-mobile.com"
"97","https://finance.yahoo.com/quote/TMSR","http://www.tmsr-ltd.com"
"98","https://finance.yahoo.com/quote/TOCA","http://www.tocagen.com"
"99","https://finance.yahoo.com/quote/TNXP","http://www.tonixpharma.com"
"100","https://finance.yahoo.com/quote/TOPS","http://www.topships.org"
"101","https://finance.yahoo.com/quote/TRCH","http://www.torchlightenergy.com"
"102","https://finance.yahoo.com/quote/TRMD","http://www.torm.com"
"107","https://finance.yahoo.com/quote/TBLT","http://www.toughbuilt.com"
"108","https://finance.yahoo.com/quote/TBLTU","http://www.toughbuilt.com"
"110","https://finance.yahoo.com/quote/TSEM","http://www.towerjazz.com"
"111","https://finance.yahoo.com/quote/CLUB","http://www.townsportsinternational.com"
"112","https://finance.yahoo.com/quote/TOWN","http://www.townebank.com"
"113","https://finance.yahoo.com/quote/TPIC","http://www.tpicomposites.com"
"114","https://finance.yahoo.com/quote/TCON","http://www.traconpharma.com"
"115","https://finance.yahoo.com/quote/TSCO","http://www.tractorsupply.com"
"116","https://finance.yahoo.com/quote/TW","http://www.tradeweb.com"
"117","https://finance.yahoo.com/quote/TWMC","http://www.twec.com"
"118","https://finance.yahoo.com/quote/TACT","http://www.transact-tech.com"
"119","https://finance.yahoo.com/quote/TRNS","http://www.transcat.com"
"120","https://finance.yahoo.com/quote/TGA","http://www.trans-globe.com"
"121","https://finance.yahoo.com/quote/TBIO","http://www.translate.bio"
"122","https://finance.yahoo.com/quote/TMDX","http://www.transmedics.com"
"123","https://finance.yahoo.com/quote/TA","http://www.ta-petro.com"
"127","https://finance.yahoo.com/quote/TZOO","http://www.travelzoo.com"
"128","https://finance.yahoo.com/quote/TRMT","http://www.trmtreit.com"
"129","https://finance.yahoo.com/quote/TRVN","http://www.trevena.com"
"130","https://finance.yahoo.com/quote/TRVI","http://www.trevitherapeutics.com"
"131","https://finance.yahoo.com/quote/TPCO","http://www.tribpub.com"
"132","https://finance.yahoo.com/quote/TCDA","http://www.tricida.com"
"133","https://finance.yahoo.com/quote/TCBK","http://www.tcbk.com"
"134","https://finance.yahoo.com/quote/TDAC","http://www.tridentacquisitions.com"
"135","https://finance.yahoo.com/quote/TDACU","http://www.tridentacquisitions.com"
"137","https://finance.yahoo.com/quote/TRIL","http://www.trilliumtherapeutics.com"
"138","https://finance.yahoo.com/quote/TRS","http://www.trimascorp.com"
"139","https://finance.yahoo.com/quote/TRMB","http://www.trimble.com"
"140","https://finance.yahoo.com/quote/TRIB","http://www.trinitybiotech.com"
"141","https://finance.yahoo.com/quote/TMCX","http://www.trinity-merger.com"
"142","https://finance.yahoo.com/quote/TMCXU","http://www.trinity-merger.com"
"144","https://finance.yahoo.com/quote/TRIP","http://www.tripadvisor.com"
"145","https://finance.yahoo.com/quote/TSC","http://www.tristatecapitalbank.com"
"146","https://finance.yahoo.com/quote/TSCAP","http://www.tristatecapitalbank.com"
"147","https://finance.yahoo.com/quote/TBK","http://www.triumphbancorp.com"
"148","https://finance.yahoo.com/quote/TRVG","http://www.trivago.de"
"149","https://finance.yahoo.com/quote/TROV","http://www.trovageneoncology.com"
