"","X.https...finance.yahoo.com.quote.JPM.C.","X.."
"1","https://finance.yahoo.com/quote/JPM^C",""
"2","https://finance.yahoo.com/quote/JPM^D",""
"3","https://finance.yahoo.com/quote/JPM^E",""
"4","https://finance.yahoo.com/quote/JPM^F",""
"5","https://finance.yahoo.com/quote/JPM^G",""
"6","https://finance.yahoo.com/quote/JPM^H",""
"21","https://finance.yahoo.com/quote/JCAP^B",""
"25","https://finance.yahoo.com/quote/JMPB",""
"26","https://finance.yahoo.com/quote/JMPD",""
"38","https://finance.yahoo.com/quote/JW.A",""
"39","https://finance.yahoo.com/quote/JW.B",""
"48","https://finance.yahoo.com/quote/JE^A",""
"54","https://finance.yahoo.com/quote/KSU^",""
"58","https://finance.yahoo.com/quote/KYN^F",""
"65","https://finance.yahoo.com/quote/KMPA",""
"73","https://finance.yahoo.com/quote/KEY^I",""
"74","https://finance.yahoo.com/quote/KEY^J",""
"75","https://finance.yahoo.com/quote/KEY^K",""
"81","https://finance.yahoo.com/quote/KIM^I",""
"82","https://finance.yahoo.com/quote/KIM^J",""
"83","https://finance.yahoo.com/quote/KIM^K",""
"84","https://finance.yahoo.com/quote/KIM^L",""
"85","https://finance.yahoo.com/quote/KIM^M",""
"93","https://finance.yahoo.com/quote/KKR^A",""
"94","https://finance.yahoo.com/quote/KKR^B",""
"95","https://finance.yahoo.com/quote/KIO",""
"103","https://finance.yahoo.com/quote/KTB$",""
"133","https://finance.yahoo.com/quote/LGC.U",""
"134","https://finance.yahoo.com/quote/LGC.WS",""
"136","https://finance.yahoo.com/quote/LMHA",""
"137","https://finance.yahoo.com/quote/LMHB",""
"139","https://finance.yahoo.com/quote/JBK",""
"140","https://finance.yahoo.com/quote/KTH",""
"141","https://finance.yahoo.com/quote/KTN",""
"142","https://finance.yahoo.com/quote/KTP",""
"147","https://finance.yahoo.com/quote/LEN.B",""
"149","https://finance.yahoo.com/quote/LHC",""
"150","https://finance.yahoo.com/quote/LHC.U",""
"151","https://finance.yahoo.com/quote/LHC.WS",""
"154","https://finance.yahoo.com/quote/LXP^C",""
"155","https://finance.yahoo.com/quote/LPL",""
"163","https://finance.yahoo.com/quote/LNC.WS",""
"167","https://finance.yahoo.com/quote/LGF.A",""
"168","https://finance.yahoo.com/quote/LGF.B",""
"192","https://finance.yahoo.com/quote/MTB^",""
"193","https://finance.yahoo.com/quote/MTB^C",""
"208","https://finance.yahoo.com/quote/MGY.WS",""
"209","https://finance.yahoo.com/quote/MH^A",""
"210","https://finance.yahoo.com/quote/MH^C",""
"211","https://finance.yahoo.com/quote/MH^D",""
"212","https://finance.yahoo.com/quote/MHLA",""
"213","https://finance.yahoo.com/quote/MHNC",""
"246","https://finance.yahoo.com/quote/MKC.V",""
"253","https://finance.yahoo.com/quote/MTL^",""
"257","https://finance.yahoo.com/quote/MCV",""
"258","https://finance.yahoo.com/quote/MCX",""
"259","https://finance.yahoo.com/quote/MDLQ",""
"260","https://finance.yahoo.com/quote/MDLX",""
"264","https://finance.yahoo.com/quote/MFAC",""
"265","https://finance.yahoo.com/quote/MFAC.U",""
"266","https://finance.yahoo.com/quote/MFAC.WS",""
"272","https://finance.yahoo.com/quote/MER^K",""
"273","https://finance.yahoo.com/quote/PIY",""
"274","https://finance.yahoo.com/quote/MTR",""
"278","https://finance.yahoo.com/quote/MET^A",""
"279","https://finance.yahoo.com/quote/MET^E",""
"285","https://finance.yahoo.com/quote/MFA^B",""
"286","https://finance.yahoo.com/quote/MFO",""
"294","https://finance.yahoo.com/quote/MTG",""
"299","https://finance.yahoo.com/quote/MAA^I",""
"318","https://finance.yahoo.com/quote/TAP.A",""
"320","https://finance.yahoo.com/quote/MNR^C",""
"323","https://finance.yahoo.com/quote/MOG.A",""
"324","https://finance.yahoo.com/quote/MOG.B",""
"326","https://finance.yahoo.com/quote/MS^A",""
"327","https://finance.yahoo.com/quote/MS^E",""
"328","https://finance.yahoo.com/quote/MS^F",""
"329","https://finance.yahoo.com/quote/MS^G",""
"330","https://finance.yahoo.com/quote/MS^I",""
"331","https://finance.yahoo.com/quote/MS^K",""
"337","https://finance.yahoo.com/quote/MOSC.U",""
"338","https://finance.yahoo.com/quote/MOSC.WS",""
"344","https://finance.yahoo.com/quote/HJV",""
"355","https://finance.yahoo.com/quote/MVO",""
"357","https://finance.yahoo.com/quote/MVCD",""
"361","https://finance.yahoo.com/quote/NBR^A",""
"364","https://finance.yahoo.com/quote/NTEST",""
"365","https://finance.yahoo.com/quote/NTEST.A",""
"366","https://finance.yahoo.com/quote/NTEST.B",""
"367","https://finance.yahoo.com/quote/NTEST.C",""
"375","https://finance.yahoo.com/quote/NNN^E",""
"376","https://finance.yahoo.com/quote/NNN^F",""
"377","https://finance.yahoo.com/quote/NRUC",""
"380","https://finance.yahoo.com/quote/NSA^A",""
"389","https://finance.yahoo.com/quote/NM",""
"390","https://finance.yahoo.com/quote/NM^G",""
"391","https://finance.yahoo.com/quote/NM^H",""
"394","https://finance.yahoo.com/quote/NAV^D",""
"404","https://finance.yahoo.com/quote/NFC.U",""
"405","https://finance.yahoo.com/quote/NFC.WS",""
"417","https://finance.yahoo.com/quote/NYCB^A",""
"418","https://finance.yahoo.com/quote/NYCB^U",""
"429","https://finance.yahoo.com/quote/NEE^I",""
"430","https://finance.yahoo.com/quote/NEE^J",""
"431","https://finance.yahoo.com/quote/NEE^K",""
"432","https://finance.yahoo.com/quote/NEE^N",""
"433","https://finance.yahoo.com/quote/NEE^R",""
"435","https://finance.yahoo.com/quote/NGL^B",""
"436","https://finance.yahoo.com/quote/NGL^C",""
"437","https://finance.yahoo.com/quote/NMK^B",""
"438","https://finance.yahoo.com/quote/NMK^C",""
"444","https://finance.yahoo.com/quote/NI^B",""
"446","https://finance.yahoo.com/quote/NOAH",""
"458","https://finance.yahoo.com/quote/NOA",""
"463","https://finance.yahoo.com/quote/NWE",""
"472","https://finance.yahoo.com/quote/NS^A",""
"473","https://finance.yahoo.com/quote/NS^B",""
"474","https://finance.yahoo.com/quote/NS^C",""
"475","https://finance.yahoo.com/quote/NSS",""
"493","https://finance.yahoo.com/quote/JEMD",""
"501","https://finance.yahoo.com/quote/JHAA",""
"502","https://finance.yahoo.com/quote/JHD",""
