"","Symbol","Name"
"1","YI","111, Inc."
"2","PIH","1347 Property Insurance Holdings, Inc."
"3","PIHPP","1347 Property Insurance Holdings, Inc."
"4","TURN","180 Degree Capital Corp."
"5","FLWS","1-800 FLOWERS.COM, Inc."
"6","BCOW","1895 Bancorp of Wisconsin, Inc."
"7","FCCY","1st Constitution Bancorp (NJ)"
"8","SRCE","1st Source Corporation"
"9","VNET","21Vianet Group, Inc."
"10","TWOU","2U, Inc."
"11","QFIN","360 Finance, Inc."
"12","JOBS","51job, Inc."
"13","JFK","8i Enterprises Acquisition Corp"
"14","JFKKR","8i Enterprises Acquisition Corp"
"15","JFKKU","8i Enterprises Acquisition Corp"
"16","JFKKW","8i Enterprises Acquisition Corp"
"17","EGHT","8x8 Inc"
"18","AAON","AAON, Inc."
"19","ABEO","Abeona Therapeutics Inc."
"20","ABEOW","Abeona Therapeutics Inc."
"21","ABIL","Ability Inc."
"22","ABMD","ABIOMED, Inc."
"23","AXAS","Abraxas Petroleum Corporation"
"24","ACIU","AC Immune SA"
"25","ACIA","Acacia Communications, Inc."
"26","ACTG","Acacia Research Corporation"
"27","ACHC","Acadia Healthcare Company, Inc."
"28","ACAD","ACADIA Pharmaceuticals Inc."
"29","ACAM","Acamar Partners Acquisition Corp."
"30","ACAMU","Acamar Partners Acquisition Corp."
"31","ACAMW","Acamar Partners Acquisition Corp."
"32","ACST","Acasti Pharma, Inc."
"33","AXDX","Accelerate Diagnostics, Inc."
"34","XLRN","Acceleron Pharma Inc."
"35","ARAY","Accuray Incorporated"
"36","ACRX","AcelRx Pharmaceuticals, Inc."
"37","ACER","Acer Therapeutics Inc."
"38","ACHV","Achieve Life Sciences, Inc. "
"39","ACHN","Achillion Pharmaceuticals, Inc."
"40","ACIW","ACI Worldwide, Inc."
"41","ACRS","Aclaris Therapeutics, Inc."
"42","ACMR","ACM Research, Inc."
"43","ACNB","ACNB Corporation"
"44","ACOR","Acorda Therapeutics, Inc."
"45","ACTT","Act II Global Acquisition Corp."
"46","ACTTU","Act II Global Acquisition Corp."
"47","ACTTW","Act II Global Acquisition Corp."
"48","ATVI","Activision Blizzard, Inc"
"49","ADMS","Adamas Pharmaceuticals, Inc."
"50","ADMP","Adamis Pharmaceuticals Corporation"
"51","ADAP","Adaptimmune Therapeutics plc"
"52","ADUS","Addus HomeCare Corporation"
"53","AEY","ADDvantage Technologies Group, Inc."
"54","IOTS","Adesto Technologies Corporation"
"55","ADIL","Adial Pharmaceuticals, Inc"
