"","x"
"1","Primoris Services Corporation is a publicly traded specialty construction and infrastructure company, with a particular focus on pipelines for natural gas, wastewater and water. As of 2014 it was a Fortune 1000 company."
"2","Dunkin' Brands Group, Inc. is an American restaurant holding company which runs two chains of fast-food restaurants: Dunkin' Donuts and Baskin-Robbins. It is headquartered in Canton, Massachusetts."
"3","Werner Enterprises, Inc. (NASDAQ: WERN) is an American freight carrier and transportation and logistics company headquartered in Omaha, Nebraska.  It was founded in 1956 by Executive Chairman,  Clarence L. (C.L.) Werner. He started his business with one truck at the age of 19. The company has two divisions - Truckload Transportation Services and Werner Logistics. At the end of 2017, Truckload division has 7,435 trucks and Werner Logistics has 45 drayage trucks.C.L. Werner, the company's founder and first driver, stepped down from the position of chief executive officer as part of the planned management transition announced in August 2015 and will remain as executive chairman of the company. Derek Leathers was promoted to president and CEO in May 2016.Werner ships throughout the United States, Canada, Mexico, Asia, Europe, South America, Africa and Australia. It has a fleet of 7,400 trucks and more than 24,000 trailers. In 2015, their net profit was estimated as being $123.7 million.Werner has terminals located in 11 states.
It offers van, flatbed and temperature-controlled services.
It has regional offices throughout North America, China and Australia.
Werner’s current fleet is made up of the following makes and models:

Freightliner Cascadia Evolution
Peterbilt 579
Kenworth T680
Volvo VNL 670
International Pro star"
"4","Commvault is a publicly traded data protection and information management software company headquartered in Tinton Falls, New Jersey. It was formed in 1988 as a development group in Bell Labs, and later became a business unit of AT&T Network Systems. It was incorporated in 1996.Commvault software can be used for data backup and recovery, cloud and infrastructure management, and retention and compliance."
"5","Akamai Technologies, Inc. is an American content delivery network (CDN) and cloud service provider headquartered in Cambridge, Massachusetts, in the United States. Akamai's content delivery network is one of the world's largest distributed computing platforms, responsible for serving between 15% and 30% of all web traffic.
The company operates a network of servers around the world and rents out capacity on these servers to customers who want their websites to work faster by distributing content from locations close to the user. When a user navigates to the URL of an Akamai customer, their browser is redirected to one of Akamai's copies of the website."
"6","Pacific Sunwear of California Inc., branded as PacSun, is a United States-based retail clothing brand rooted in the youth oriented culture and lifestyle of California. The company sells lifestyle apparel, along with footwear and accessories designed for teens and young adults. As of late 2017, the company operated over 600 stores in all 50 states and Puerto Rico. PacSun is headquartered in Anaheim, California, and operates a distribution center in Olathe, Kansas. The company's regional directors, district managers and store positions are located throughout the United States. The company went bankrupt in April 2016 and is now owned by Golden Gate Capital. This was the company's third time filing bankruptcy."
"7","Aerie Pharmaceuticals Inc. (NASDAQ: AERI) is a publicly traded, clinical-stage pharmaceutical company focused on the discovery, development and commercialization of first-in-class therapies for the treatment of patients with glaucoma and other diseases of the eye. Aerie's two lead product candidates are once-daily IOP-lowering therapies with novel mechanisms of action to treat patients with glaucoma or ocular hypertension."
"8","Northern Trust Corporation is a financial services company headquartered in Chicago, Illinois that caters to corporations, institutional investors, and high net worth individuals. It is one of the largest banks in the United States and one the oldest banks in continuous operation. As of December 31, 2018, it had $1.07 trillion in assets under management and $10.13 trillion in assets under custody.The company has offices in 20 US states and locations across 23 countries in Canada, Europe, the Middle East and the Asia-Pacific region. It is ranked 486th on the Fortune 1000 as of February 2019."
"9","Expedia Group is an American global travel technology company. Its websites, which are primarily travel fare aggregators and travel metasearch engines, include CarRentals.com, CheapTickets, Expedia.com, HomeAway, Hotels.com, Hotwire.com, Orbitz, Travelocity, trivago, and Venere.com.According to Rich Barton, the company's first CEO, the word ""Expedia"" is derived from a combination of exploration and speed."
"10","Opera Software AS is a Chinese-owned software company, primarily known for its desktop Opera web browser, and mobile web browser Opera Mini. It was demerged from its parent company Otello Corporation as part of the latter's divestiture of its web browser business. Opera browsers have more than 350 million users worldwide across multiple platforms.Opera is also involved in promoting Web standards through participation in the W3C. The company has its headquarters in Oslo, Norway and also has offices in Sweden, Poland, China, Japan, South Korea, Australia, Russia, Ukraine, Iceland, Singapore, Taiwan and the United States.The company changed ownership when Otello (at the time Opera Software ASA) sold its web browser and consumer businesses along with the Opera brand to a Chinese group of investors in 2016 with the deal completing in November of that year.On July 27, 2018, Opera Software went public on the NASDAQ stock exchange, raising $115 million in its initial public offering."
