"","X","V1","V2"
"26",26,"https://finance.yahoo.com/quote/ACAM",""
"27",27,"https://finance.yahoo.com/quote/ACAMU",""
"28",28,"https://finance.yahoo.com/quote/ACAMW",""
"42",42,"https://finance.yahoo.com/quote/ACTTU",""
"51",51,"https://finance.yahoo.com/quote/ADILW",""
"62",62,"https://finance.yahoo.com/quote/DWMC",""
"63",63,"https://finance.yahoo.com/quote/DWSH",""
"64",64,"https://finance.yahoo.com/quote/BKCH",""
"65",65,"https://finance.yahoo.com/quote/ACT",""
"78",78,"https://finance.yahoo.com/quote/AGBAU",""
"89",89,"https://finance.yahoo.com/quote/AGFSW",""
"95",95,"https://finance.yahoo.com/quote/AMCN",""
"96",96,"https://finance.yahoo.com/quote/AITB",""
"106",106,"https://finance.yahoo.com/quote/ALAC",""
"107",107,"https://finance.yahoo.com/quote/ALACR",""
"108",108,"https://finance.yahoo.com/quote/ALACU",""
"109",109,"https://finance.yahoo.com/quote/ALACW",""
"125",125,"https://finance.yahoo.com/quote/ALGR",""
"126",126,"https://finance.yahoo.com/quote/ALGRR",""
"127",127,"https://finance.yahoo.com/quote/ALGRU",""
"128",128,"https://finance.yahoo.com/quote/ALGRW",""
"141",141,"https://finance.yahoo.com/quote/SMCP",""
"145",145,"https://finance.yahoo.com/quote/AMRWW",""
"164",164,"https://finance.yahoo.com/quote/AMCIW",""
"169",169,"https://finance.yahoo.com/quote/AMRHW",""
"189",189,"https://finance.yahoo.com/quote/ASRVP",""
"195",195,"https://finance.yahoo.com/quote/IBUY",""
"202",202,"https://finance.yahoo.com/quote/ANDA",""
"203",203,"https://finance.yahoo.com/quote/ANDAR",""
"204",204,"https://finance.yahoo.com/quote/ANDAU",""
"205",205,"https://finance.yahoo.com/quote/ANDAW",""
"223",223,"https://finance.yahoo.com/quote/APDNW",""
"260",260,"https://finance.yahoo.com/quote/DWCR",""
"261",261,"https://finance.yahoo.com/quote/DWAT",""
"267",267,"https://finance.yahoo.com/quote/ARYA",""
"268",268,"https://finance.yahoo.com/quote/ARYAU",""
"269",269,"https://finance.yahoo.com/quote/ARYAW",""
"306",306,"https://finance.yahoo.com/quote/ATISW",""
"345",345,"https://finance.yahoo.com/quote/RILYG",""
"346",346,"https://finance.yahoo.com/quote/RILYH",""
"347",347,"https://finance.yahoo.com/quote/RILYI",""
"348",348,"https://finance.yahoo.com/quote/RILYL",""
"349",349,"https://finance.yahoo.com/quote/RILYO",""
"350",350,"https://finance.yahoo.com/quote/RILYZ",""
"356",356,"https://finance.yahoo.com/quote/BANFP",""
"362",362,"https://finance.yahoo.com/quote/BMLP",""
"371",371,"https://finance.yahoo.com/quote/DFVL",""
"372",372,"https://finance.yahoo.com/quote/DFVS",""
"373",373,"https://finance.yahoo.com/quote/DLBS",""
"374",374,"https://finance.yahoo.com/quote/DTUL",""
"375",375,"https://finance.yahoo.com/quote/DTUS",""
"376",376,"https://finance.yahoo.com/quote/DTYL",""
"377",377,"https://finance.yahoo.com/quote/DTYS",""
"378",378,"https://finance.yahoo.com/quote/FLAT",""
"379",379,"https://finance.yahoo.com/quote/STPP",""
"380",380,"https://finance.yahoo.com/quote/TAPR",""
"384",384,"https://finance.yahoo.com/quote/ZTEST",""
