Name,Source,Sector,Industry
Altisource Asset Management Corp,10K,6,59
"Equifax, Inc.",10K,8,81
"Republic First Bancorp, Inc.",10K,8,72
"PulteGroup, Inc.",10K,10,96
"Oaktree Capital Group, LLC",10K,6,57
"Monro, Inc.",10K,4,43
"Ideanomics, Inc.",10K,8,70
"BankUnited, Inc.",10K,5,53
"Calix, Inc",10K,3,39
Renasant Corporation,10K,5,53
"Loral Space and Communications, Inc.",10K,3,39
"Simulations Plus, Inc.",10K,1,10
"Nova Lifestyle, Inc",10K,2,21
Bank of America Corporation,10K,5,53
Hallador Energy Company,10K,2,22
NRC Group Holdings Corp.,10K,8,69
IRIDEX Corporation,10K,1,6
Resonant Inc.,10K,3,38
Green Dot Corporation,10K,8,83
Mosaic Acquisition Corp.,10K,8,69
Zovio Inc.,10K,8,75
Western Union Company (The),10K,8,83
National Beverage Corp.,10K,9,86
BancFirst Corporation,10K,5,53
"AutoNation, Inc.",10K,4,43
DTE Energy Company,10K,7,65
"First Business Financial Services, Inc.",10K,6,59
Marvell Technology Group Ltd.,10K,3,38
"Merck & Company, Inc.",10K,1,8
"Richardson Electronics, Ltd.",10K,3,38
"Fortinet, Inc.",10K,7,60
"Varonis Systems, Inc.",10K,7,60
Capital Senior Living Corporation,10K,8,76
SandRidge Mississippian Trust I,10K,2,27
Cherokee Inc.,10K,9,88
"DSP Group, Inc.",10K,3,38
"EZCORP, Inc.",10K,9,90
"Echo Global Logistics, Inc.",10K,8,72
"LSC Communications, Inc.",10K,7,63
Yangtze River Port and Logistics Limited,10K,8,71
Oaktree Specialty Lending Corporation,10K,6,58
Territorial Bancorp Inc.,10K,5,52
"Suburban Propane Partners, L.P.",10K,2,32
Tenet Healthcare Corporation,10K,8,76
Quanex Building Products Corporation,10K,4,51
Anworth Mortgage Asset  Corporation,10K,6,59
"Marathon Patent Group, Inc.",10K,7,62
"Fortune Brands Home & Security, Inc.",10K,4,49
"Alexander&#39;s, Inc.",10K,10,100
"Tengasco, Inc.",10K,2,28
PennantPark Investment Corporation,10K,6,58
Cambrex Corporation,10K,1,8
"U.S. Global Investors, Inc.",10K,6,57
GSV Capital Corp,10K,6,58
"MercadoLibre, Inc.",10K,7,66
"Lawson Products, Inc.",10K,4,48
Neonode Inc.,10K,3,35
"BioTelemetry, Inc.",10K,1,5
"Fidelity D & D Bancorp, Inc.",10K,5,53
"Fortress Biotech, Inc.",10K,1,2
"ADOMANI, Inc.",10K,8,72
"Oceaneering International, Inc.",10K,2,16
"Arista Networks, Inc.",10K,7,60
CSP Inc.,10K,3,39
CVB Financial Corporation,10K,5,53
"Barnes & Noble Education, Inc",10K,8,75
"Jaguar Health, Inc.",10K,1,3
Semtech Corporation,10K,3,38
Cytosorbents Corporation,10K,1,3
Vanda Pharmaceuticals Inc.,10K,1,4
AMC Networks Inc.,10K,7,67
"Northfield Bancorp, Inc.",10K,5,52
ZIOPHARM Oncology Inc,10K,1,2
Nucor Corporation,10K,4,51
Bank OZK,10K,5,53
SeaSpine Holdings Corporation,10K,1,6
Capri Holdings Limited,10K,9,88
"Sound Financial Bancorp, Inc.",10K,5,52
Alcoa Corporation,10K,2,23
"Ocean Power Technologies, Inc.",10K,3,33
"Cutera, Inc.",10K,1,6
Discover Financial Services,10K,8,83
"NantKwest, Inc.",10K,1,1
"Aviat Networks, Inc.",10K,3,39
Dover Corporation,10K,4,47
"Riot Blockchain, Inc",10K,1,3
First BanCorp.,10K,5,53
"Howard Bancorp, Inc.",10K,5,53
Chevron Corporation,10K,2,28
"Triumph Bancorp, Inc.",10K,5,53
NXT-ID Inc.,10K,7,62
Silvercrest Asset Management Group Inc.,10K,6,57
"Professional Diversity Network, Inc.",10K,7,66
"StarTek, Inc.",10K,8,79
"Aqua America, Inc.",10K,2,29
"China Pharma Holdings, Inc.",10K,8,72
"Diamond Hill Investment Group, Inc.",10K,6,57
Falcon Minerals Corporation,10K,8,69
"Armstrong Flooring, Inc.",10K,4,49
"Akcea Therapeutics, Inc.",10K,1,4
"White Mountains Insurance Group, Ltd.",10K,6,55
"PC-Tel, Inc.",10K,3,34
"CynergisTek, Inc.",10K,7,63
"HTG Molecular Diagnostics, Inc.",10K,1,11
Atlantic Power Corporation,10K,2,30
"Mobile Mini, Inc.",10K,4,40
Sanchez Midstream Partners LP,10K,2,28
"Dorchester Minerals, L.P.",10K,2,27
Southwestern Energy Company,10K,2,28
Quanterix Corporation,10K,1,11
"American Renal Associates Holdings, Inc",10K,8,76
L.S. Starrett Company (The),10K,4,47
"Rapid7, Inc.",10K,7,60
"Syros Pharmaceuticals, Inc.",10K,1,1
"Par Pacific Holdings, Inc.",10K,2,28
Herc Holdings Inc.,10K,8,74
"Avanos Medical, Inc.",10K,1,7
"The Habit Restaurants, Inc.",10K,10,93
CTS Corporation,10K,4,45
"Barnes & Noble, Inc.",10K,9,89
"Star Group, L.P.",10K,2,32
"Badger Meter, Inc.",10K,4,50
"DGSE Companies, Inc.",10K,9,90
Capstone Turbine Corporation,10K,3,33
GATX Corporation,10K,9,89
Willis Lease Finance Corporation,10K,2,15
CVS Health Corporation,10K,1,8
Amphenol Corporation,10K,3,36
"Lincoln Electric Holdings, Inc.",10K,4,47
"Williams-Sonoma, Inc.",10K,9,89
EQT Corporation,10K,2,31
"Zimmer Biomet Holdings, Inc.",10K,1,6
Bunge Limited,10K,2,26
"Mesa Laboratories, Inc.",10K,1,7
"Dillard&#39;s, Inc.",10K,9,89
"Insys Therapeutics, Inc.",10K,1,4
Levi Strauss & Co,10K,9,88
Fox Factory Holding Corp.,10K,8,72
Ocwen Financial Corporation,10K,8,72
OneSpan Inc.,10K,7,62
Apache Corporation,10K,2,28
"CB Financial Services, Inc.",10K,5,52
Keurig Dr Pepper Inc.,10K,9,86
Matthews International Corporation,10K,4,47
National Retail Properties,10K,10,100
Sysco Corporation,10K,9,86
"Helius Medical Technologies, Inc.",10K,1,5
"Immunomedics, Inc.",10K,1,2
Plexus Corp.,10K,3,37
Microsoft Corporation,10K,7,60
Qumu Corporation,10K,3,35
"Information Services Group, Inc.",10K,8,79
Hill-Rom Holdings Inc,10K,1,7
"Funko, Inc.",10K,9,87
"Codexis, Inc.",10K,2,24
Commercial Metals Company,10K,4,51
Gladstone Investment Corporation,10K,6,58
Southern Company (The),10K,2,30
MTS Systems Corporation,10K,8,72
PJT Partners Inc.,10K,6,57
BorgWarner Inc.,10K,4,45
Houston American Energy Corporation,10K,2,28
Astrotech Corporation,10K,1,10
"CBAK Energy Technology, Inc.",10K,8,71
Weingarten Realty Investors,10K,10,100
"Cable One, Inc.",10K,8,72
"Western New England Bancorp, Inc.",10K,5,52
"Spok Holdings, Inc.",10K,7,65
"Tetra Tech, Inc.",10K,2,17
"Epizyme, Inc.",10K,1,1
"Great Western Bancorp, Inc.",10K,8,72
"Boston Properties, Inc.",10K,10,100
"AstroNova, Inc.",10K,8,72
Vertex Pharmaceuticals Incorporated,10K,1,2
"IES Holdings, Inc.",10K,2,18
Americold Realty Trust,10K,2,32
"Woodward, Inc.",10K,4,45
Invesco Mortgage Capital Inc.,10K,6,59
"Monarch Casino & Resort, Inc.",10K,10,95
Trio-Tech International,10K,8,72
"Goldman Sachs BDC, Inc.",10K,6,58
"Matinas Biopharma Holdings, Inc.",10K,1,4
AdvisorShares Vice ETF,10K,1,8
"GoPro, Inc.",10K,7,66
Humana Inc.,10K,8,72
"GSI Technology, Inc.",10K,3,38
Concho Resources Inc.,10K,2,28
Community West Bancshares,10K,5,52
"ProPhase Labs, Inc.",10K,1,3
"Shiloh Industries, Inc.",10K,4,45
"PS Business Parks, Inc.",10K,10,100
"Daseke, Inc.",10K,8,69
Lancaster Colony Corporation,10K,9,86
RBC Bearings Incorporated,10K,4,45
Liberty Property Trust,10K,10,100
"Alaska Communications Systems Group, Inc.",10K,8,72
"Guaranty Federal Bancshares, Inc.",10K,5,52
Smart,10K,9,85
Yelp Inc.,10K,7,66
Regions Financial Corporation,10K,5,53
SecureWorks Corp.,10K,7,60
"Immunic, Inc.",10K,1,1
"Pacira BioSciences, Inc.",10K,1,4
"TPG RE Finance Trust, Inc.",10K,6,59
Moelis & Company,10K,6,57
"ChemoCentryx, Inc.",10K,1,2
"BJ&#39;s Restaurants, Inc.",10K,10,93
Westlake Chemical Corporation,10K,2,25
"Popular, Inc.",10K,5,53
Kennedy-Wilson Holdings Inc.,10K,8,69
R.R. Donnelley & Sons Company,10K,7,63
"TechTarget, Inc.",10K,7,66
TE Connectivity Ltd.,10K,4,51
Research Frontiers Incorporated,10K,3,35
"Peak Resorts, Inc.",10K,10,94
