Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Exchange,CIK,SIC
YI,"111, Inc.",8.56,110485589.2,12907195,2018,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/yi,NASDAQ,1738906,5912
PIH,"1347 Property Insurance Holdings, Inc.",5.74,34513265.36,,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih,NASDAQ,1591890,6331
PIHPP,"1347 Property Insurance Holdings, Inc.",25.2499,17674930,,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp,NASDAQ,1591890,6331
TURN,180 Degree Capital Corp.,1.9598,60992037.21,,,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn,NASDAQ,893739,6799
FLWS,"1-800 FLOWERS.COM, Inc.",18.46,1187307640,,1999,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws,NASDAQ,1084869,5990
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.3727,45707630.52,,2019,Finance,Banks,https://www.nasdaq.com/symbol/bcow,NASDAQ,1751692,6036
FCCY,1st Constitution Bancorp (NJ),18.75,161769525,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy,NASDAQ,1141807,6035
SRCE,1st Source Corporation,45.47,1167121823,,,Finance,Major Banks,https://www.nasdaq.com/symbol/srce,NASDAQ,34782,6022
VNET,"21Vianet Group, Inc.",7.55,470198364,62277929,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet,NASDAQ,1508475,7370
TWOU,"2U, Inc.",39.52,2492874887,,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou,NASDAQ,1459417,7372
QFIN,"360 Finance, Inc.",16.27,50437000,3100000,2018,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/qfin,NASDAQ,1741530,6199
JOBS,"51job, Inc.",68.11,2431872250,35705069,2004,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs,NASDAQ,1295484,7361
JFK,8i Enterprises Acquisition Corp,9.86,56695000,,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfk,NASDAQ,1753648,6770
JFKKR,8i Enterprises Acquisition Corp,0.1994,0,,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfkkr,NASDAQ,1753648,6770
JFKKU,8i Enterprises Acquisition Corp,10.17,50850000,,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfkku,NASDAQ,1753648,6770
JFKKW,8i Enterprises Acquisition Corp,0.14,805000,,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfkkw,NASDAQ,1753648,6770
EGHT,8x8 Inc,23.78,2289713563,,,Technology,EDP Services,https://www.nasdaq.com/symbol/eght,NASDAQ,1023731,7374
AAON,"AAON, Inc.",46.65,2431176926,,,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon,NASDAQ,824142,3585
ABEO,Abeona Therapeutics Inc.,6.55,322011407.9,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo,NASDAQ,318306,2834
ABEOW,Abeona Therapeutics Inc.,2.2,0,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow,NASDAQ,318306,2834
ABIL,Ability Inc.,1.255,10089021.56,,2014,Capital Goods,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil,NASDAQ,1652866,3669
ABMD,"ABIOMED, Inc.",270.39,12201275474,,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd,NASDAQ,815094,3841
AXAS,Abraxas Petroleum Corporation,1.05,176787430.1,,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas,NASDAQ,867665,1311
ACIU,AC Immune SA,5.03,339838535,,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu,NASDAQ,1651625,2834
ACIA,"Acacia Communications, Inc.",47.31,1920731168,,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia,NASDAQ,1651235,3674
ACTG,Acacia Research Corporation,3.13,156701199.5,,,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/actg,NASDAQ,934549,6794
ACHC,"Acadia Healthcare Company, Inc.",32.71,2893080043,,,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc,NASDAQ,1520697,8093
ACAD,ACADIA Pharmaceuticals Inc.,25.96,3735186611,,1985,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad,NASDAQ,1070494,2834
ACAM,Acamar Partners Acquisition Corp.,9.75,372417357,,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acam,NASDAQ,1759008,6770
ACAMU,Acamar Partners Acquisition Corp.,10,0,,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acamu,NASDAQ,1759008,6770
ACAMW,Acamar Partners Acquisition Corp.,1,0,,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acamw,NASDAQ,1759008,6770
ACST,"Acasti Pharma, Inc.",0.88,68756805.92,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acst,NASDAQ,1444192,2834
AXDX,"Accelerate Diagnostics, Inc.",19.06,1038005484,,,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/axdx,NASDAQ,727207,3826
ACCP,"Accelerated Pharma, Inc.",,0,,,,,https://www.nasdaq.com/symbol/accp,NASDAQ,1630970,2834
XLRN,Acceleron Pharma Inc.,42.06,2215962224,,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/xlrn,NASDAQ,1280600,2836
ARAY,Accuray Incorporated,3.97,349455661.1,,2007,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/aray,NASDAQ,1138723,3841
ACRX,"AcelRx Pharmaceuticals, Inc.",2.74,216224825.8,,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrx,NASDAQ,1427925,2834
ACER,Acer Therapeutics Inc.,18.75,189138056.3,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer,NASDAQ,1069308,2834
ACHV,"Achieve Life Sciences, Inc.",3.86,26502567,,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/achv,NASDAQ,949858,2835
ACHN,"Achillion Pharmaceuticals, Inc.",2.84,393979925.8,,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/achn,NASDAQ,1070336,2834
ACIW,"ACI Worldwide, Inc.",32.03,3541338944,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw,NASDAQ,935036,7372
