1, INDUSTRIAL ORGANIC CHEMICALS, PHARMACEUTICAL PREPARATIONS, BIOLOGICAL PRODUCTS (NO DISGNOSTIC SUBSTANCES)
2, PHARMACEUTICAL PREPARATIONS, BIOLOGICAL PRODUCTS (NO DISGNOSTIC SUBSTANCES), MEDICINAL CHEMICALS & BOTANICAL PRODUCTS
3, PHARMACEUTICAL PREPARATIONS, BIOLOGICAL PRODUCTS (NO DISGNOSTIC SUBSTANCES), SURGICAL & MEDICAL INSTRUMENTS & APPARATUS
4, PHARMACEUTICAL PREPARATIONS, BIOLOGICAL PRODUCTS (NO DISGNOSTIC SUBSTANCES), SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH
5, HAZARDOUS WASTE MANAGEMENT, ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO
6, RETAIL-DRUG STORES AND PROPRIETARY STORES, WHOLESALE-MEDICAL DENTAL & HOSPITAL EQUIPMENT & SUPPLIES, INSURANCE AGENTS BROKERS & SERVICE
7, SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN, SERVICES-PREPACKAGED SOFTWARE, SERVICES-SPECIALTY OUTPATIENT FACILITIES
8, SERVICES-HOME HEALTH CARE SERVICES, SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, SERVICES-HOSPITALS
9, SERVICES-BUSINESS SERVICES, ACCIDENT & HEALTH INSURANCE, SERVICES-MANAGEMENT SERVICES
10, SURGICAL & MEDICAL INSTRUMENTS & APPARATUS, PHARMACEUTICAL PREPARATIONS, ORTHOPEDIC PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES
11, LABORATORY ANALYTICAL INSTRUMENTS, OPTICAL INSTRUMENTS & LENSES, SEMICONDUCTORS & RELATED DEVICES
12, SURGICAL & MEDICAL INSTRUMENTS & APPARATUS, ORTHOPEDIC PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES, ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS
13, SERVICES-MEDICAL LABORATORIES, SURGICAL & MEDICAL INSTRUMENTS & APPARATUS, IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES
14, SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH, PHARMACEUTICAL PREPARATIONS, SERVICES-MEDICAL LABORATORIES
15, SERVICES-COMPUTER PROGRAMMING DATA PROCESSING ETC., SERVICES-ADVERTISING, SERVICES-PREPACKAGED SOFTWARE
16, SERVICES-PREPACKAGED SOFTWARE, SERVICES-EDUCATIONAL SERVICES, PHOTOGRAPHIC EQUIPMENT & SUPPLIES
17, SERVICES-ADVERTISING AGENCIES, SERVICES-MANAGEMENT CONSULTING SERVICES, SERVICES-BUSINESS SERVICES
18, HOTELS & MOTELS, SERVICES-RACING INCLUDING TRACK OPERATION, SERVICES-AMUSEMENT & RECREATION SERVICES
19, RADIO BROADCASTING STATIONS, TELEVISION BROADCASTING STATIONS, CABLE & OTHER PAY TELEVISION SERVICES
