Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,CIK
AABA,Altaba Inc.,68.68,$36.82B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/aaba,1011006
AAL,"American Airlines Group, Inc.",32.14,$14.3B,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/aal,6201
AAME,Atlantic American Corporation,2.4487,$49.35M,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aame,8177
AAOI,"Applied Optoelectronics, Inc.",10.16,$202.59M,2013,Technology,Semiconductors,https://www.nasdaq.com/symbol/aaoi,1158114
AAON,"AAON, Inc.",46.56,$2.43B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon,824142
AAPL,Apple Inc.,185.72,$854.51B,1980,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/aapl,320193
AAWW,Atlas Air Worldwide Holdings,40.48,$1.05B,n/a,Transportation,Transportation Services,https://www.nasdaq.com/symbol/aaww,1135185
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,66.43,$4.22B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aaxj,
AAXN,"Axon Enterprise, Inc.",64.76,$3.83B,n/a,Capital Goods,Ordnance And Accessories,https://www.nasdaq.com/symbol/aaxn,1069183
ABCB,Ameris Bancorp,35.57,$1.69B,1994,Finance,Major Banks,https://www.nasdaq.com/symbol/abcb,351569
ABDC,Alcentra Capital Corp.,8.35,$107.51M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abdc,1578620
ABEO,Abeona Therapeutics Inc.,7.05,$339.05M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo,318306
ABEOW,Abeona Therapeutics Inc.,3.1,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow,318306
ABIL,Ability Inc.,1.22,$9.81M,2014,Capital Goods,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil,1652866
ABIO,"ARCA biopharma, Inc.",11.7,$19.79M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/abio,907654
ABMD,"ABIOMED, Inc.",252.37,$11.39B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd,815094
ABTX,"Allegiance Bancshares, Inc.",34.69,$740.34M,2015,Finance,Major Banks,https://www.nasdaq.com/symbol/abtx,1642081
ABUS,Arbutus Biopharma Corporation,2.2,$127.63M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abus,1447028
ACAD,ACADIA Pharmaceuticals Inc.,24.63,$3.54B,1985,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad,1070494
ACAM,Acamar Partners Acquisition Corp.,9.75,$297.93M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acam,1759008
ACAMU,Acamar Partners Acquisition Corp.,10,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acamu,1759008
ACAMW,Acamar Partners Acquisition Corp.,1,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acamw,1759008
ACBI,"Atlantic Capital Bancshares, Inc.",17.34,$417.97M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/acbi,1461755
ACER,Acer Therapeutics Inc.,19.48,$196.5M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer,1069308
ACGL,Arch Capital Group Ltd.,33.32,$13.45B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/acgl,947484
ACGLO,Arch Capital Group Ltd.,24.4,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/acglo,947484
ACGLP,Arch Capital Group Ltd.,23.36,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/acglp,947484
ACHC,"Acadia Healthcare Company, Inc.",32.17,$2.85B,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc,1520697
ACHN,"Achillion Pharmaceuticals, Inc.",2.74,$380.11M,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/achn,1070336
ACHV,"Achieve Life Sciences, Inc. ",3.94,$26.48M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/achv,949858
ACIA,"Acacia Communications, Inc.",51.71,$2.1B,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia,1651235
ACIU,AC Immune SA,5.13,$346.59M,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu,1651625
ACIW,"ACI Worldwide, Inc.",31.27,$3.46B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw,935036
ACLS,"Axcelis Technologies, Inc.",16.48,$542.89M,2000,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acls,1113232
ACMR,"ACM Research, Inc.",18.72,$300.93M,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acmr,1680062
ACNB,ACNB Corporation,38.21,$269.37M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/acnb,715579
ACOR,"Acorda Therapeutics, Inc.",10.85,$521.88M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/acor,1008848
ACRS,"Aclaris Therapeutics, Inc.",5.7,$235.25M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrs,1557746
ACRX,"AcelRx Pharmaceuticals, Inc.",3.2,$252.53M,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrx,1427925
ACST,"Acasti Pharma, Inc.",0.795,$62.12M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acst,1444192
ACT,AdvisorShares Vice ETF,24.7232,$12.98M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/act,884629
ACTG,Acacia Research Corporation,3.15,$156.5M,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/actg,934549
ACTTU,Act II Global Acquisition Corp.,10.07,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acttu,
ACWI,iShares MSCI ACWI Index Fund,71.05,$10.27B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/acwi,
ACWX,iShares MSCI ACWI ex US Index Fund,45.1,$3.57B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/acwx,
ADAP,Adaptimmune Therapeutics plc,3.92,$410.53M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adap,1621227
