Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Exchange,CIK
YI,"111, Inc.",8.56,110485589.2,12907195,2018,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/yi,NASDAQ,0001738906
PIH,"1347 Property Insurance Holdings, Inc.",5.74,34513265.36,,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih,NASDAQ,0001591890
PIHPP,"1347 Property Insurance Holdings, Inc.",25.2499,17674930,,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp,NASDAQ,0001591890
TURN,180 Degree Capital Corp.,1.9598,60992037.2076,,,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn,NASDAQ,0000893739
FLWS,"1-800 FLOWERS.COM, Inc.",18.46,1187307640.22,,1999,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws,NASDAQ,0001084869
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.3727,45707630.5179,,2019,Finance,Banks,https://www.nasdaq.com/symbol/bcow,NASDAQ,0001751692
FCCY,1st Constitution Bancorp (NJ),18.75,161769525,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy,NASDAQ,0001141807
SRCE,1st Source Corporation,45.47,1167121822.91,,,Finance,Major Banks,https://www.nasdaq.com/symbol/srce,NASDAQ,0000034782
VNET,"21Vianet Group, Inc.",7.55,470198363.95,62277929,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet,NASDAQ,0001508475
TWOU,"2U, Inc.",39.52,2492874887.36,,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou,NASDAQ,0001459417
QFIN,"360 Finance, Inc.",16.27,50437000,3100000,2018,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/qfin,NASDAQ,0001741530
JOBS,"51job, Inc.",68.11,2431872249.59,35705069,2004,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs,NASDAQ,0001295484
JFK,8i Enterprises Acquisition Corp,9.86,56695000,,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfk,NASDAQ,0001753648
JFKKR,8i Enterprises Acquisition Corp,0.1994,0,,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfkkr,NASDAQ,0001753648
JFKKU,8i Enterprises Acquisition Corp,10.17,50850000,,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfkku,NASDAQ,0001753648
JFKKW,8i Enterprises Acquisition Corp,0.14,805000,,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfkkw,NASDAQ,0001753648
EGHT,8x8 Inc,23.78,2289713563.48,,,Technology,EDP Services,https://www.nasdaq.com/symbol/eght,NASDAQ,0001023731
AAON,"AAON, Inc.",46.65,2431176925.65,,,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon,NASDAQ,0000824142
ABEO,Abeona Therapeutics Inc.,6.55,322011407.85,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo,NASDAQ,0000318306
ABEOW,Abeona Therapeutics Inc.,2.2,0,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow,NASDAQ,0000318306
ABIL,Ability Inc.,1.255,10089021.555,,2014,Capital Goods,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil,NASDAQ,0001652866
ABMD,"ABIOMED, Inc.",270.39,12201275474.31,,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd,NASDAQ,0000815094
AXAS,Abraxas Petroleum Corporation,1.05,176787430.05,,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas,NASDAQ,0000867665
ACIU,AC Immune SA,5.03,339838534.99,,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu,NASDAQ,0001651625
ACIA,"Acacia Communications, Inc.",47.31,1920731167.71,,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia,NASDAQ,0001651235
ACTG,Acacia Research Corporation,3.13,156701199.53,,,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/actg,NASDAQ,0000934549
ACHC,"Acadia Healthcare Company, Inc.",32.71,2893080043.08,,,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc,NASDAQ,0001520697
ACAD,ACADIA Pharmaceuticals Inc.,25.96,3735186610.76,,1985,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad,NASDAQ,0001070494
ACAM,Acamar Partners Acquisition Corp.,9.75,372417357,,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acam,NASDAQ,0001759008
ACAMU,Acamar Partners Acquisition Corp.,10,0,,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acamu,NASDAQ,0001759008
ACAMW,Acamar Partners Acquisition Corp.,1,0,,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acamw,NASDAQ,0001759008
ACST,"Acasti Pharma, Inc.",0.88,68756805.92,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acst,NASDAQ,0001444192
AXDX,"Accelerate Diagnostics, Inc.",19.06,1038005484.34,,,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/axdx,NASDAQ,0000727207
ACCP,"Accelerated Pharma, Inc.",,0,,,,,https://www.nasdaq.com/symbol/accp,NASDAQ,0001630970
XLRN,Acceleron Pharma Inc.,42.06,2215962224.4,,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/xlrn,NASDAQ,0001280600
ARAY,Accuray Incorporated,3.97,349455661.12,,2007,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/aray,NASDAQ,0001138723
ACRX,"AcelRx Pharmaceuticals, Inc.",2.74,216224825.8,,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrx,NASDAQ,0001427925
ACER,Acer Therapeutics Inc.,18.75,189138056.25,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer,NASDAQ,0001069308
ACHV,"Achieve Life Sciences, Inc.",3.86,26502567,,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/achv,NASDAQ,0000949858
ACHN,"Achillion Pharmaceuticals, Inc.",2.84,393979925.84,,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/achn,NASDAQ,0001070336
ACIW,"ACI Worldwide, Inc.",32.03,3541338943.67,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw,NASDAQ,0000935036
ACRS,"Aclaris Therapeutics, Inc.",5.12,211314216.96,,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrs,NASDAQ,0001557746
ACMR,"ACM Research, Inc.",18.09,291105293.04,,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acmr,NASDAQ,0001680062
ACNB,ACNB Corporation,37.7,265773011.4,,,Finance,Major Banks,https://www.nasdaq.com/symbol/acnb,NASDAQ,0000715579
ACOR,"Acorda Therapeutics, Inc.",10.16,488691478.8,,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/acor,NASDAQ,0001008848
ACTT,Act II Global Acquisition Corp.,9.7,291000000,,2019,Finance,Business Services,https://www.nasdaq.com/symbol/actt,NASDAQ,0001753706
ACTTU,Act II Global Acquisition Corp.,10.0566,0,,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acttu,NASDAQ,0001753706
ACTTW,Act II Global Acquisition Corp.,0.7,15225000,,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acttw,NASDAQ,0001753706
ATVI,"Activision Blizzard, Inc",42.29,32394424146.51,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/atvi,NASDAQ,0000718877
ADMS,"Adamas Pharmaceuticals, Inc.",4.99,137390722.89,,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adms,NASDAQ,0001328143
ADMP,Adamis Pharmaceuticals Corporation,1.5,71163621,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/admp,NASDAQ,0000887247
ADAP,Adaptimmune Therapeutics plc,3.67,294593821.32,80270796,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adap,NASDAQ,0001621227
ADUS,Addus HomeCare Corporation,69.55,916849690.9,,2009,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/adus,NASDAQ,0001468328
AEY,"ADDvantage Technologies Group, Inc.",1.3235,13713169.962,,,Consumer Services,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/aey,NASDAQ,0000874292
IOTS,Adesto Technologies Corporation,7.64,227061075.04,,2015,Technology,Semiconductors,https://www.nasdaq.com/symbol/iots,NASDAQ,0001395848
ADIL,"Adial Pharmaceuticals, Inc",2.28,23300774.64,,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adil,NASDAQ,0001513525
ADILW,"Adial Pharmaceuticals, Inc",0.36,0,,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adilw,NASDAQ,0001513525
ADMA,ADMA Biologics Inc,4.6,272861907.6,,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adma,NASDAQ,0001368514
ADBE,Adobe Inc.,274.77,134074280608.11,,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adbe,NASDAQ,0000796343
