,cik-year,Sector 1,Sector 2,Sector 3,Sector 4,Sector 5,Sector 6,Sector 7,Sector 8,Sector 9,Sector 10
0,1000045-2008,3.7888083544780673,3.600941740504219,3.2273229777598544,3.515836561812934,3.347049908788662,4.518992170761576,3.494162390318783,4.257782017940777,3.8536203388184314,3.6794956029225787
1,1000045-2009,4.258672382024645,4.0408199645248315,3.743400601152873,4.029991933976675,3.8642016097317664,4.881922139735362,3.953841714522728,4.634797031815168,4.292366180760111,4.112872849905308
2,1000045-2010,4.42769363190036,4.238491236733401,3.9266517340283054,4.202151070226846,4.0329700677659215,5.023606327803723,4.134802349341466,4.808914760807047,4.447244323750468,4.2869783753651145
3,1000045-2011,4.731363373605788,4.508459662437308,4.248822239883045,4.4967546632025455,4.346077100904943,5.3144895523402464,4.341955670019543,5.0667365053335365,4.7226123371013955,4.572699645564338
4,1000045-2012,4.480638523887982,4.247300299339857,3.975523799241998,4.241542353488575,4.095179522304484,5.095928599413961,4.072697483116173,4.794850001528907,4.502243246783979,4.304807044726344
5,1000045-2013,4.695343608567143,4.485645562933436,4.230977816810316,4.489542396512779,4.352576454414073,5.3016141971997435,4.313429923245248,5.018816507711908,4.68059262016482,4.531509031806848
6,1000045-2014,4.955317176937749,4.747618735205615,4.508065928684673,4.756039729520826,4.619592543584704,5.537428335461713,4.579743401627036,5.242581470375949,4.916066838154584,4.776675837476176
7,1000045-2015,4.908934471069324,4.703435949524261,4.455110397784799,4.667471252152876,4.555954984126979,5.489773977108244,4.545599446656446,5.22283017054392,4.856974881301629,4.768672845304579
8,1000045-2016,4.713603888614641,4.526006918040416,4.251453599080332,4.468769496248718,4.369583469456337,5.317517694891229,4.347057842870791,5.0151885529812,4.704426934621101,4.579869083952991
9,1000045-2017,4.477991109362752,4.328143792814932,4.037116366278797,4.229018933390476,4.132865208929132,5.0662216790049746,4.025162466257514,4.720040702173727,4.493515937634158,4.313640376823212
10,1000045-2018,4.464548405036527,4.321514347907214,4.023026634762797,4.228882050683472,4.130238949484234,4.98537944743444,4.060050693430932,4.656581839562492,4.428309729360238,4.26893168767066
11,1000228-2008,3.8207641214357837,3.8007077067188213,3.4598271499127495,3.415745708674001,3.472124211013521,4.754921967923762,3.8284788464921498,4.425787888128896,4.215452976736385,4.248366726032988
12,1000228-2009,4.0093946798256175,3.9562420369615032,3.6545167578540227,3.633279202388808,3.6709243515046244,4.945104919487336,4.005168783452617,4.583806602912649,4.3997996556752526,4.401152250677255
13,1000228-2010,4.082655727280253,4.122349391177384,3.78320096905549,3.7081770933484095,3.7643169783320016,4.978725789836669,4.194147365612496,4.757482479995437,4.517037495028214,4.580401926408647
14,1000228-2011,4.40273449787074,4.470190712804031,4.143880117563129,4.0247561097645335,4.137290468117548,5.275434160521696,4.520700790968373,5.078439400504675,4.819070559757123,4.901812667789169
15,1000228-2012,4.410315146515417,4.503639851703864,4.17891175308914,4.015954921749922,4.195031353893323,5.268909980858652,4.491775865463682,5.079858472569312,4.838399216009876,4.8696033918931825
