#SIC #Occurrence #Percentage #Accumulated_Percentage
 6331 36 0.133828996282528 0.133828996282528
 6798 33 0.122676579925651 0.256505576208178
 6282 30 0.111524163568773 0.368029739776952
 6211 19 0.0706319702602231 0.438661710037175
 6311 18 0.0669144981412639 0.505576208178439
 6770 13 0.0483271375464684 0.553903345724907
 7389 13 0.0483271375464684 0.602230483271376
 6351 8 0.0297397769516729 0.631970260223048
 6153 7 0.0260223048327138 0.657992565055762
 6199 7 0.0260223048327138 0.684014869888476
 6531 7 0.0260223048327138 0.71003717472119
 7374 6 0.0223048327137546 0.732342007434944
 6141 5 0.0185873605947955 0.75092936802974
 6411 5 0.0185873605947955 0.769516728624535
 6200 5 0.0185873605947955 0.788104089219331
 6022 4 0.0148698884758364 0.802973977695167
 7320 4 0.0148698884758364 0.817843866171004
 5500 4 0.0148698884758364 0.83271375464684
 6321 3 0.0111524163568773 0.843866171003717
 6500 3 0.0111524163568773 0.855018587360595
 6361 3 0.0111524163568773 0.866171003717472
 7370 3 0.0111524163568773 0.877323420074349
 7359 2 0.00743494423791822 0.884758364312268
 5900 2 0.00743494423791822 0.892193308550186
 6021 2 0.00743494423791822 0.899628252788104
 1311 2 0.00743494423791822 0.907063197026022
 7380 2 0.00743494423791822 0.914498141263941
 200 2 0.00743494423791822 0.921933085501859
 2834 2 0.00743494423791822 0.929368029739777
 4955 1 0.00371747211895911 0.933085501858736
 5122 1 0.00371747211895911 0.936802973977695
 4922 1 0.00371747211895911 0.940520446096655
 5731 1 0.00371747211895911 0.944237918215614
 7372 1 0.00371747211895911 0.947955390334573
 3086 1 0.00371747211895911 0.951672862453532
 4932 1 0.00371747211895911 0.955390334572491
 6399 1 0.00371747211895911 0.95910780669145
 6221 1 0.00371747211895911 0.962825278810409
 6519 1 0.00371747211895911 0.966542750929368
 4832 1 0.00371747211895911 0.970260223048327
 1700 1 0.00371747211895911 0.973977695167287
 4700 1 0.00371747211895911 0.977695167286246
 8071 1 0.00371747211895911 0.981412639405205
 7900 1 0.00371747211895911 0.985130111524164
 5140 1 0.00371747211895911 0.988847583643123
 2510 1 0.00371747211895911 0.992565055762082
 6163 1 0.00371747211895911 0.996282527881041
 1389 1 0.00371747211895911 1
