Name,Source,Sector,Industry
"Nicholas Financial, Inc.",2018,8,78
"Henry Schein, Inc.",2018,2,6
Core Laboratories N.V.,2018,9,82
Optical Cable Corporation,2018,5,43
"Impac Mortgage Holdings, Inc.",2018,7,66
"Schweitzer-Mauduit International, Inc.",2018,6,48
"Blonder Tongue Laboratories, Inc.",2018,5,43
"Novavax, Inc.",2018,1,3
Waters Corporation,2018,2,11
"Insperity, Inc.",2018,3,21
Geospace Technologies Corporation,2018,5,46
Broadway Financial Corporation,2018,7,67
"Sangamo Therapeutics, Inc.",2018,1,3
"Estee Lauder Companies, Inc. (The)",2018,4,41
"Asta Funding, Inc.",2018,8,77
"Asta Funding, Inc.",2018,8,77
"TG Therapeutics, Inc.",2018,1,3
Southern Copper Corporation,2018,6,54
"Intevac, Inc.",2018,5,42
Astrotech Corporation,2018,2,11
"NetApp, Inc.",2018,3,29
"Westell Technologies, Inc.",2018,5,43
"Nuance Communications, Inc.",2018,2,7
"Star Group, L.P.",2018,6,48
Open Text Corporation,2018,3,21
Ameren Corporation,2018,9,86
"Affiliated Managers Group, Inc.",2018,8,72
OceanFirst Financial Corp.,2018,7,67
"Regional Health Properties, Inc.",2018,10,90
"Barnwell Industries, Inc.",2018,9,83
"Tyson Foods, Inc.",2018,4,34
Pacific Gas & Electric Co.,2018,6,50
"SPAR Group, Inc.",2018,6,52
"Assertio Therapeutics, Inc.",2018,1,4
"Suburban Propane Partners, L.P.",2018,9,88
Columbus McKinnon Corporation,2018,6,60
Pangaea Logistics Solutions Ltd.,2018,5,43
Universal Display Corporation,2018,5,43
Landec Corporation,2018,6,48
"Dime Community Bancshares, Inc.",2018,7,67
IDT Corporation,2018,3,23
Tompkins Financial Corporation,2018,7,67
"Argan, Inc.",2018,9,81
IRIDEX Corporation,2018,2,12
"Loral Space and Communications, Inc.",2018,3,24
"Protalix BioTherapeutics, Inc.",2018,1,3
"Evolution Petroleum Corporation, Inc.",2018,9,85
"HC2 Holdings, Inc.",2018,9,81
"Coffee Holding Co., Inc.",2018,4,38
Bank of South Carolina Corp.,2018,7,67
"PRGX Global, Inc.",2018,3,22
"KVH Industries, Inc.",2018,6,48
"Streamline Health Solutions, Inc.",2018,2,7
Tupperware Brands Corporation,2018,4,41
"Acorda Therapeutics, Inc.",2018,1,4
"Carbo Ceramics, Inc.",2018,6,55
Capstone Turbine Corporation,2018,5,44
"JAKKS Pacific, Inc.",2018,4,41
Air Industries Group,2018,6,57
SIGA Technologies Inc.,2018,1,3
"Provident Financial Holdings, Inc.",2018,7,67
"Sykes Enterprises, Incorporated",2018,3,21
"CynergisTek, Inc.",2018,3,29
"Knoll, Inc.",2018,4,38
"Rush Enterprises, Inc.",2018,10,97
Sealed Air Corporation,2018,6,59
Avadel Pharmaceuticals plc,2018,1,4
"Genesee & Wyoming, Inc.",2018,9,80
