1, "PHARMACEUTICAL PREPARATIONS" and "INDUSTRIAL ORGANIC CHEMICALS"
2, "BIOLOGICAL PRODUCTS (NO DISGNOSTIC SUBSTANCES)" and "MEDICINAL CHEMICALS & BOTANICAL PRODUCTS"
3, "BIOLOGICAL PRODUCTS (NO DISGNOSTIC SUBSTANCES)" and "SURGICAL & MEDICAL INSTRUMENTS & APPARATUS"
4, "BIOLOGICAL PRODUCTS (NO DISGNOSTIC SUBSTANCES)" and "SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH"
5, "HAZARDOUS WASTE MANAGEMENT" and "ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO"
6, "WHOLESALE-MEDICAL DENTAL & HOSPITAL EQUIPMENT & SUPPLIES" and "RETAIL-DRUG STORES AND PROPRIETARY STORES"
7, "SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN" and "SERVICES-SPECIALTY OUTPATIENT FACILITIES"
8, "SERVICES-HOME HEALTH CARE SERVICES" and "SERVICES-HOSPITALS"
9, "ACCIDENT & HEALTH INSURANCE" and "SERVICES-MANAGEMENT SERVICES"
10, "SURGICAL & MEDICAL INSTRUMENTS & APPARATUS" and "PHARMACEUTICAL PREPARATIONS"
11, "LABORATORY ANALYTICAL INSTRUMENTS" and "SEMICONDUCTORS & RELATED DEVICES"
12, "ORTHOPEDIC PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES" and "ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS"
13, "SERVICES-MEDICAL LABORATORIES" and "IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES"
14, "PHARMACEUTICAL PREPARATIONS" and "SERVICES-MEDICAL LABORATORIES"
15, "SERVICES-ADVERTISING" and "SERVICES-PREPACKAGED SOFTWARE"
16, "SERVICES-PREPACKAGED SOFTWARE" and "PHOTOGRAPHIC EQUIPMENT & SUPPLIES"
17, "SERVICES-MANAGEMENT CONSULTING SERVICES" and "SERVICES-BUSINESS SERVICES"
18, "SERVICES-RACING INCLUDING TRACK OPERATION" and "SERVICES-AMUSEMENT & RECREATION SERVICES"
19, "RADIO BROADCASTING STATIONS" and "CABLE & OTHER PAY TELEVISION SERVICES"
20, "REAL ESTATE INVESTMENT TRUSTS" and "SERVICES-EMPLOYMENT AGENCIES"
21, "SERVICES-COMPUTER PROCESSING & DATA PREPARATION" and "SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN"
22, "SERVICES-BUSINESS SERVICES" and "SERVICES-COMPUTER PROGRAMMING SERVICES"
23, "CABLE & OTHER PAY TELEVISION SERVICES" and "RADIOTELEPHONE COMMUNICATIONS"
24, "RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT" and "TELEPHONE COMMUNICATIONS"
25, "FUNCTIONS RELATED TO DEPOSITORY BANKING" and "FINANCE SERVICES"
26, "SERVICES-BUSINESS SERVICES" and "WHOLESALE-COMPUTERS & PERIPHERAL EQUIPMENT & SOFTWARE"
27, "COMMUNICATIONS EQUIPMENT" and "SERVICES-PREPACKAGED SOFTWARE"
28, "SERVICES-PREPACKAGED SOFTWARE" and "COMPUTER COMMUNICATIONS EQUIPMENT"
29, "SERVICES-COMPUTER PROCESSING & DATA PREPARATION" and "SERVICES-PREPACKAGED SOFTWARE"
30, "SERVICES-PREPACKAGED SOFTWARE" and "SERVICES-MANAGEMENT CONSULTING SERVICES"
31, "SERVICES-COMPUTER PROGRAMMING DATA PROCESSING ETC." and "IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES"
32, "MEDICINAL CHEMICALS & BOTANICAL PRODUCTS" and "AGRICULTURAL CHEMICALS"
33, "CONVERTED PAPER & PAPERBOARD PRODS" and "WHOLESALE-PAPER & PAPER PRODUCTS"
34, "FOOD AND KINDRED PRODUCTS" and "BEVERAGES"
35, "SERVICES-BUSINESS SERVICES" and "INVESTORS"
36, "COMPUTER PERIPHERAL EQUIPMENT" and "COMMERCIAL PRINTING"
37, "RETAIL-FAMILY CLOTHING STORES" and "RETAIL-CATALOG & MAIL-ORDER HOUSES"
38, "RETAIL-VARIETY STORES" and "RETAIL-MISCELLANEOUS SHOPPING GOODS STORES"
39, "RETAIL-FOOD STORES" and "PHARMACEUTICAL PREPARATIONS"
40, "RETAIL-DEPARTMENT STORES" and "SUGAR & CONFECTIONERY PRODUCTS"
41, "PERFUMES COSMETICS & OTHER TOILET PREPARATIONS" and "GAMES TOYS & CHILDREN'S VEHICLES"
42, "INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS" and "SEMICONDUCTORS & RELATED DEVICES"
43, "RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT" and "SEMICONDUCTORS & RELATED DEVICES"
44, "ENGINES & TURBINES" and "SEMICONDUCTORS & RELATED DEVICES"
45, "SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN" and "RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT"
46, "SEARCH DETECTION NAVAGATION GUIDANCE AERONAUTICAL SYS" and "OIL & GAS FIELD EXPLORATION SERVICES"
47, "SERVICES-BUSINESS SERVICES" and "SERVICES-PREPACKAGED SOFTWARE"
48, "PHARMACEUTICAL PREPARATIONS" and "STATE COMMERCIAL BANKS"
49, "RETAIL-VARIETY STORES" and "ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS"
50, "ELECTRIC & OTHER SERVICES COMBINED" and "NATURAL GAS TRANSMISSION"
51, "SERVICES-COMPUTER PROCESSING & DATA PREPARATION" and "CABLE & OTHER PAY TELEVISION SERVICES"
52, "SERVICES-BUSINESS SERVICES" and "NATIONAL COMMERCIAL BANKS"
53, "INDUSTRIAL INORGANIC CHEMICALS" and "PLASTIC MATERIAL SYNTH RESIN/RUBBER CELLULOS (NO GLASS)"
54, "METAL MINING" and "CONVERTED PAPER & PAPERBOARD PRODS"
55, "ABRASIVE ASBESTOS & MISC NONMETALLIC MINERAL PRODS" and "SERVICES-MANAGEMENT CONSULTING SERVICES"
56, "GOLD AND SILVER ORES" and "BITUMINOUS COAL & LIGNITE MINING"
57, "METALWORKG MACHINERY & EQUIPMENT" and "MISCELLANEOUS FABRICATED METAL PRODUCTS"
58, "CANNED FROZEN & PRESERVD FRUIT VEG & FOOD SPECIALTIES" and "SERVICES-BUSINESS SERVICES"
59, "PLASTIC MATERIAL SYNTH RESIN/RUBBER CELLULOS (NO GLASS)" and "CONVERTED PAPER & PAPERBOARD PRODS"
60, "MOTOR VEHICLE PARTS & ACCESSORIES" and "MEASURING & CONTROLLING DEVICES"
61, "WHOLESALE-LUMBER & OTHER CONSTRUCTION MATERIALS" and "SERVICES-EQUIPMENT RENTAL & LEASING"
62, "GENERAL BLDG CONTRACTORS - RESIDENTIAL BLDGS" and "WHOLESALE-LUMBER & OTHER CONSTRUCTION MATERIALS"
63, "MOTOR VEHICLE PARTS & ACCESSORIES" and "MOTOR VEHICLES & PASSENGER CAR BODIES"
64, "METAL FORGINGS & STAMPINGS" and "CONSTRUCTION MACHINERY & EQUIP"
65, "SERVICES-EDUCATIONAL SERVICES" and "PERSONAL CREDIT INSTITUTIONS"
66, "PERSONAL CREDIT INSTITUTIONS" and "REAL ESTATE INVESTMENT TRUSTS"
67, "STATE COMMERCIAL BANKS" and "SAVINGS INSTITUTION FEDERALLY CHARTERED"
68, "SECURITY BROKERS DEALERS & FLOTATION COMPANIES" and "STATE COMMERCIAL BANKS"
69, "SECURITY BROKERS DEALERS & FLOTATION COMPANIES" and "SECURITY & COMMODITY BROKERS DEALERS EXCHANGES & SERVICES"
