CIK,Year,Sector,Industry
1000045,2007,6,51
1000045,2008,6,51
1000045,2009,6,51
1000045,2010,6,51
1000045,2011,6,51
1000045,2012,6,51
1000045,2013,6,51
1000045,2014,6,51
1000045,2015,6,51
1000045,2016,6,51
1000045,2017,6,51
1000228,2007,5,26
1000228,2008,5,26
1000228,2009,5,26
1000228,2010,5,26
1000228,2011,5,26
1000228,2012,5,26
1000228,2013,5,26
1000228,2014,5,26
1000228,2015,5,26
1000228,2016,5,26
1000228,2017,5,26
1000229,2007,2,13
1000229,2008,2,13
1000229,2009,2,13
1000229,2010,2,13
1000229,2011,2,13
1000229,2012,2,13
1000229,2013,2,13
1000229,2014,2,13
1000229,2015,2,13
1000229,2016,2,13
1000229,2017,2,13
1000230,2007,8,79
1000230,2008,8,79
1000230,2009,8,79
1000230,2010,8,79
1000230,2011,8,79
1000230,2011,8,79
1000230,2012,8,79
1000230,2013,8,79
1000230,2015,8,79
1000230,2015,6,53
1000230,2016,8,79
1000230,2017,8,79
1000298,2007,4,21
1000298,2008,4,21
1000298,2009,4,21
1000298,2010,4,21
1000298,2011,4,21
1000298,2012,4,21
1000298,2013,4,21
1000298,2014,4,21
1000298,2015,4,21
1000298,2016,4,21
1000298,2017,4,21
1000623,2007,8,84
1000623,2008,8,84
1000623,2009,8,84
1000623,2010,8,84
1000623,2011,8,84
1000623,2012,8,84
1000623,2013,8,84
1000623,2014,8,84
1000623,2015,4,21
1000623,2016,4,21
1000623,2017,4,21
1000683,2007,6,39
1000683,2008,6,39
1000683,2009,6,39
1000683,2010,6,39
1000683,2011,6,39
1000683,2012,6,39
1000683,2013,6,39
1000683,2014,6,39
1000683,2015,6,39
1000683,2016,6,39
1000683,2017,6,39
1000694,2007,7,57
1000694,2008,7,57
1000694,2009,7,57
1000694,2010,7,57
1000694,2011,7,57
1000694,2012,7,57
1000694,2013,7,57
1000694,2014,7,57
1000694,2015,7,57
1000694,2016,7,57
1000694,2017,7,57
1000697,2007,8,76
1000697,2008,8,76
1000697,2009,8,76
1000697,2010,8,76
1000697,2011,8,76
1000697,2012,8,76
1000697,2013,8,76
1000697,2014,8,76
1000697,2015,8,76
1000697,2016,8,76
1000697,2017,8,76
1000753,2007,6,47
1000753,2008,6,47
1000753,2009,6,47
1000753,2010,6,53
1000753,2011,6,47
1000753,2012,6,47
1000753,2013,6,47
1000753,2014,6,47
1000753,2015,6,47
1000753,2016,6,47
1000753,2017,6,47
1001082,2007,6,53
1001082,2008,10,98
1001082,2009,10,98
1001082,2010,10,98
1001082,2011,10,98
1001082,2012,10,98
1001082,2013,10,98
1001082,2014,10,98
1001082,2015,6,53
1001082,2016,6,53
1001082,2017,6,53
1001115,2007,8,79
1001115,2008,8,79
1001115,2009,8,79
1001115,2010,8,79
1001115,2011,8,79
1001115,2012,8,79
1001115,2013,8,79
1001115,2014,8,79
1001115,2015,8,79
1001115,2017,8,79
1001171,2008,1,5
1001171,2009,1,5
1001171,2010,1,5
1001171,2011,1,5
1001171,2012,1,5
1001171,2013,1,5
1001171,2014,1,5
1001171,2015,1,5
1001171,2016,1,5
1001171,2017,1,5
1001233,2007,7,58
1001233,2008,7,58
1001233,2009,7,58
1001233,2010,7,58
1001233,2011,7,58
1001233,2012,7,58
1001233,2013,7,58
1001233,2014,7,58
1001233,2015,7,58
1001233,2016,7,58
1001233,2017,7,58
1001250,2007,8,70
1001250,2008,8,70
1001250,2009,8,70
1001250,2010,8,70
1001250,2011,8,70
1001250,2012,8,70
1001250,2013,8,70
1001250,2014,8,70
1001250,2015,8,70
1001250,2016,8,70
1001250,2017,8,70
